ID,title,reviewer_name,country,watershed,water_body_type,water_body_size,site_size,latitude,longitude,year,seasonality,seasons,study_type,connectivity,lateral,longitudinal,hyporheic,spatial,temporal_def,temporal,connectivity_process,connectivity_quantitative,connectivity_metric,connectivity_def,predictors,responses,primary_productivity_metric,chlorophyll,chlorophyll_method,chlorophyll_response,p_value,food_web,mean,sd,n,data_published,data_figure,data_analysis_method,notes,meta_analysis,include_exclude,include_exclude_reason
chl_14,"complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian",MB,USA,NA,pond,1000L mesocosm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not about connectivity; examined the impact of temporary pond duration on frog larval development ,N,exclude,connectivity; mentions population connectivity once in the conclusion
chl_23,fish assemblages of tropical floodplain lagoons: exploring the role of connectivity in a dry year,MB,Brazil,Parana River,lagoons,,,53º10’–53º40’W,22º35’–22º55’S,2000,Y,"February, May, August, November",observational,Y,Y,N,N,Y,N,N,flood,N,"binary, connected/disconnected",disconnected defined as isolated from the main river since March 1999 through study eriod; connected defined as permanently linke to the main river by channels. Connecting channels varried in length and size,"connectivity, water temperature, depth, turbidity, pH, conductivity, dissolved oxygen, total nitrogen, total phosphorus, chlorophyll a, zooplankton density","fish species richness, density, and biomass; dissolved oxygen, total nitrogen, total phosphorus, chlorophyll a, zooplankton density",chl-a,unclear,"unclear (provided by the Limnology and Zooplankton Laboratories of Nupelia, not collected by authors, so methods not included)",not analyzed as a response,,"zoop, fish assemblage",Y,standard error shown in figure,,N,Y,"ANOVA, DCA, PCA",,Y,include,"includes relevant limnological and fish data, though is not focused on primary productivity"
chl_34,hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland),MB,Poland,Bug River,oxbow lakes,,see table 1 for surface area of each lake,see table 1,see table 1,2012,Y,"spring, summer",observational,Y,Y,Y,N,Y,seasonal,Y,flood,N,"categorical, connected, connected+, isolated","connected defined as connected with the river channel and isolated from other water inputs, connected+ defined as connected to both river and other water inputs from the catchment, isolated defined as completely isolated from the river",connectivity,"water quality parameters: conductivity, pH, suspended solids, chlorophyll a, ammonium-nitorgen, nitrate-nitrogen, phosphorus, ",chl-a,Y,lab,increase,Y,N,Y,Y,Y,N,Y,"linear discriminant analysis, canonical analysis, ANOVA",chlorophyll a was assumed to be equibalent to phytoplankton biomass,Y,include,"includes mean, sd, and n of relevant water quality parameters including chl-a"
chl_42,"influence of hydrological heterogeneity on rotifer community structure in three different water bodies in shantou area, guangdong (china)",MB,China,Han River,"river, reservoir, tidal creek",,,map,map,"2015, 2016",Y,"July, november, january, may",pbservational,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not about connectivity; examined seasonal differences in rotifer communitites in three different aquatic habitats, but there was no connectivity between these habitats or seasonal changes in connectivity",N,include,does not address connectivity but including in content coding
chl_53,"rotifer abundance, biomass, and secondary production after the recovery of hydrologic connectivity between a river and two marginal lakes (sao paulo, brazil)",MB,Brazil,Paranapanema River,lakes,"Coqueiral Lake surface area is 641,263 square meters; Camargo Lake surface area is 224,465 square meters; volume and depth for each also included",,map,map,2001,Y,rainy (January) and dry (July),observational,Y,Y,N,N,Y,"rainy season, dry season",Y,precipitation,N,"binary, connected/disconnected","unclear, maybe water level","water temperature, transparency, dissolved oxygen, pH, alkalinity, electrical conductivity, suspended and organic particulate matter, chlorophyll a, total nitrogen, total phosphorus, ammonium, nitrate, nitrite, dissolved total and inorganic phosphate","integrated zooplankton samples, rotifer species, biomass",chl-a,Y,lab,increase,N,rotifer,Y,N,N,N,Y,"ANOVA, CCA","has chlorophyll data measured at different states of connectivity, but does not seem to include SD or data tables",maybe,include,
chl_61,spatial distribution of nutrient limitation in the danube river floodplain in relation to hydrological connectivity,MB,Coatia,Danube River floodplain,river and floodplain,37km long river-floodplain review,,map,map,2004,Y,March to July,observational,Y,Y,Y,N,Y,"ascending water level, stagnating water level, descending water level",Y,flood,N,flood pulse,habitat type,aquatic habitat type (5 categories),"water temperature, depth, Secchi depth, pH, conductivity, dissolved oxygen, ammonium, nitrate, nitrite, Kjeldahl nigrogen, total nitrogen, orthophosphate, total phosphorus, chl-a, chl-b, chl-c, algal growth potential","chl-a, chl-b, chl-c",Y,lab,mixed,Y,N,Y,in figure,Y,N,Y,ANOVA,need to clarify how connectivity maps to the 5 habitat type designations,Y,include,
chl_69,the impact of inundation-isolation cycles on the culturable bacterioplankton in the danube river floodplain,MB,Coatia,"Danube River, Kopacki Rit Nature Park","river, floodplain, lake",Danube basin area 211139 square km,sakadas lake surface area: 0.12 km^2,45°35’N,18°51’S,2005,Y,March to September,observational,Y,Y,N,N,Y,seasonal,Y,flood pulse,N,innundation/isolation,"identified three groups through PCA: initial flood pulse (A), lower water level (B), later isolated flood pulse ©","innundation pattern/connectivity, water dpeth, transparency, temperature, water velocity","pH, electrical conductivity, dissolved oxygen, ammonia, nitrates+nitrites, total N, total P, chlorophyll-a, bacteria: abundance of colony forming units ",chl-a,Y,lab,decrease,Y,bacteria,Y,Y,Y,N,Y,"PCA, multiple regression, ANOVA, ","interested in the impact of innundation on bacterial community, specifically the abudnacne of CFUs (colony forming units), unclear whether water quality parameters were considered a predictor or a response, but they discussed variation in the parameters by site so I listed as response",Y,include,
pro_11,consistent trophic patterns among fishes in lagoon and channel habitats of a tropical floodplain river: evidence from stable isotopes,MB,Venezuela,"Cinaruco River, Orinoco River Basin","river, floodplain lagoon","Drainage basin 10,000 square km",,6320N,67240W,"1999, 2000, 2001, 2002, 2003, 2004, 2005",Y,November-April,observational,Y,Y,N,N,Y,falling water season,Y,flood innundation,N,habitat type,lagoon versus main channel,habitat type,stable isotopes of food resources and fish,none,N,N,N,Y,Y,Y,Y,Y,N,Y,IsoSource mixing model,"Discusses differences between tropical and temparate systems which may be relevant to our analyssi/disussion. Does not report chlorophyl, but would be relevant for food web/fish analysis",Y,include,"exclude if we require chla; contains data for food web/fish, but not primary productivity"
pro_22,effect of hydrological connectivity on the phosphorus buffering capacity of an urban floodplain,MB,Austria,"Lower Lobau, a floodplain of the Danube River","river, floodplain","Area: 1,480ha",,map,map,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",Y,monthly,observational; experimental; modeling,Y,Y,Y,N,Y,seasonal,Y,flood,Y,surface water connection,"connectivity defined as ""the average number of days per year where a surface water connection with the main channel of the Danube is established""","sediment characteristics, water quality, ",adsorption and desorption,none,N,N,N,N,N,Y,Y,N,N,Y,"multivariate adaptive regression splines, ",focused on the impact of connectivity on phosphorus dynamics,,include,"exclude if we require chla; does address connectivity, but not primary production/chlorophyll; mentions relation to primary production in discussion"
pro_26,evaluating controls on the formation and reservoir architecture of niagaran pinnacle reefs (silurian) in the michigan basin; a sequence stratigraphic approach,MB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,thesis
