Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
J,"Walter, Jonathan A.; Fleck, Rachel; Kastens, Jude H.; Pace, Michael L.; Wilkinson, Grace M.",,,,,"Wilkinson, Grace/0000-0003-4051-2249; Walter, Jonathan/0000-0003-2983-751X",,,Temporal Coherence Between Lake and Landscape Primary Productivity,,,,,,,,Ecosystems,,,,24,3,,,,,,10.1007/s10021-020-00531-6,,,,APR 2021,2021,"Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems-here, lakes and the landscapes in which they are embedded-fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2-4-year periods of oscillation) and long (> 4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.",,,,,,,,,4,0,0,0,2,0,4,,,1432-9840,1435-0629,,BIOSIS:PREV202100466658,,
J,"Gawne, Ben; Merrick, Chester; Williams, David G.; Rees, Gavin; Oliver, Rod; Bowen, P. M.; Treadwell, Simon; Beattie, Gillian; Ellis, Iain; Frankenberg, Judy; Lorenz, Zygmunt",,,,"Silva, Fausto/I-1873-2014; Rees, Gavin/E-6869-2011; Oliver, Roderick L/D-4195-2011; Rees, Gavin/U-5653-2019","Rees, Gavin/0000-0002-5270-8559; Oliver, Roderick L/0000-0003-2238-1740; Rees, Gavin/0000-0002-5270-8559",,,Patterns of primary and heterotrophic productivity in an arid lowland river,,,,,,,,River Research and Applications,,,,23,10,,,1070,1087,,10.1002/rra.1033,,,,DEC 2007,2007,"Three river conceptual models make differing predictions about the major source of primary production in lowland rivers, acknowledging the importance of primary productivity in the ecology and management of lowland rivers. Patterns of primary production in lowland rivers are still an area of considerable uncertainty. The objective of this study was to examine the major sources and transformations of organic matter in an Australian lowland river and compare them to the predictions of existing models. The broad approach adopted was to quantify the contribution from the major ecosystem components and compare these with estimates of system metabolism determined using open water measures of diel oxygen change. Three 4-km river reaches were selected to represent the extent of variation found along the free-flowing lowland sections of the Murray River, one of Australia's largest and most regulated rivers. Annual open water gross primary production (GPP) estimates for the Murray R. during this study ranged from 221 to 376 gC m(-2) y(-1) and were similar to other large rivers. Examination of the net contribution of organic matter to the channel indicates that primary productivity in the Murray R. is derived from a combination of phytoplankton, riparian vegetation and macrophytes, but that the major source varies both spatially and temporally. The present study confirms that the River Continuum Concept (RCC), the Flood Pulse Concept (FPC) and Riverine Productivity Model (RPM) all have some application to Australian lowland rivers, but that synthesis of the models will be difficult until we can incorporate the extent, causes and consequences of primary production variability. This study also highlights the importance of the microbial loop and macrophytes in the ecology of the Murray R. Copyright (C) 2007 John Wiley & Sons, Ltd.",,,,,,,,,40,0,0,0,39,0,41,,,1535-1459,,,BIOSIS:PREV200800169213,,
J,"Preiner, S.; Drozdowski, I.; Schagerl, M.; Schiemer, F.; Hein, T.",,,,"Hein, Thomas/M-1244-2013; Michael, Schagerl/AAC-3356-2021","Hein, Thomas/0000-0002-7767-4607; Michael, Schagerl/0000-0002-8277-7205; Preiner, Stefan/0000-0003-0823-8219",,,"The significance of side-arm connectivity for carbon dynamics of the River Danube, Austria",,,,,,,,Freshwater Biology,,,,53,2,,,238,252,,10.1111/j.1365-2427.2007.01888.x,,,,FEB 2008,2008,"1. Side-arms connected to the main stem of the river are key areas for biogeochemical cycling in fluvial landscapes, exhibiting high rates of carbon processing.2. This work focused on quantifying autochthonous and allochthonous carbon pools and, thereby, on comparing transport and transformation processes in a restored side-arm system of the River Danube (Regelsbrunn). We established a carbon budget and quantified carbon processing from March to September 2003. In addition, data from previous studies during 1997 to 1999 were assessed.3. Gross primary production (GPP) and community respiration were estimated by diel oxygen time curves and an oxygen mass balance. Plankton primary production was determined to estimate its contribution to GPP under different hydrological conditions.4. Based on the degree of connectivity, three hydrological phases were differentiated. Most of the organic matter, dominated by allochthonous carbon, was transported in the main channel and through the side-arm during floods, while at intermediate and low flows (and thus connectivity), transformation processes became more important and autochthonous carbon dominated the carbon pool. The side-arm system functioned as a sink for particulate matter [total suspended solids and particulate organic carbon (POC)] and a source of dissolved organic carbon (DOC) and chlorophyll-a.5. Autochthonous primary production of 4.2 t C day(-1) in the side-arm was equivalent to about 20% of the allochthonous inputs of 20 t C day(-1) (POC and DOC) entering the area at mean flow (1% of the discharge of the main channel). Pelagic photosynthesis was generally high at mean flow (1.3-3.8 g C m(-2) day(-1)), and contributed up to 90% of system productivity. During long stagnant periods at low discharge, the side-arm was controlled by biological processes and a shift from planktonic to benthic activity occurred (benthic primary production of 0.4-14 g C m(-2) day(-1)).6. The transformation of the organic matter that passes through the side-arm under different hydrological conditions, points to the importance of these subsystems in contributing autochthonous carbon to the food web of the main channel.",,,,,,,,,34,1,1,0,30,0,40,,,0046-5070,1365-2427,,BIOSIS:PREV200800147953,,
J,"Kobayashi, Tsuyoshi; Ralph, Timothy J.; Ryder, Darren S.; Hunter, Simon J.; Shiel, Russell J.; Segers, Hendrik",,,,"Ralph, Timothy/A-9853-2012; Ralph, Timothy J./N-1520-2019; Kobayashi, Tsuyoshi/B-6282-2012","Ralph, Timothy/0000-0002-4956-606X; Ralph, Timothy J./0000-0002-4956-606X; Kobayashi, Tsuyoshi/0000-0002-3641-4120; Hunter, Simon/0000-0002-2079-0551; Ryder, Darren/0000-0002-3440-9029",,,Spatial dissimilarities in plankton structure and function during flood pulses in a semi-arid floodplain wetland system,,,,,,,,Hydrobiologia,,,,747,1,,,19,31,,10.1007/s10750-014-2119-7,,,,MAR 2015,2015,"Floodplain wetlands in semi-arid regions have intricate channel-floodplain networks with highly variable and unpredictable wet and dry phases related to changes in hydrology and geomorphology. We tested the hypothesis that the presence of different hydro-geomorphic habitats in those systems drives structural and functional differences in aquatic communities. To test this hypothesis, we examined the densities and species composition (structural variables), and primary productivity and respiration (functional variables) of plankton communities, and water chemistry in three spatially explicit channel, floodout and lagoon habitat types inundated by environmental water releases in the Macquarie Marshes, semi-arid Australia. Significant differences were recorded among the community-level structural and functional variables among the three habitats. Greater densities of phytoplankton, zooplankton and planktonic bacteria were observed in a hydrologically isolated floodplain lagoon. The lagoon habitat also had greater primary productivity of phytoplankton and planktonic respiration compared with the channel and floodout. Our results suggest that water release to meet environmental flow requirements can be an important driver of planktonic diversity and functional responses in semi-arid wetland systems by inundating diverse, hydro-geomorphically distinct habitats.",,,,,,,,,13,0,0,0,11,1,14,,,0018-8158,1573-5117,,BIOSIS:PREV201500285482,,
J,"Schiemer, Fritz; Hein, Thomas; Peduzzi, Peter",,,,"Hein, Thomas/M-1244-2013","Hein, Thomas/0000-0002-7767-4607",,,Hydrological control of system characteristics of floodplain lakes,,,,,,,,Ecohydrology & Hydrobiology,,,,6,1-4,,,7,18,,,,,,2006,2006,"Water bodies within floodplains are strongly governed by their hydrological connectivity with the main river (Heiler et al. 1995). Connectivity is decisive for the general ecosystem characteristics and the balance between input and output of nutrients and organic carbon sources.A major determinant is the abundance of macrophytic vegetation, which is controlled by through-flow, dry-falling and scouring effects.The autochthonous primary production is strongly augmented by local terrestrial carbon sources and by the riverine transport in form of dissolved and particulate organic matter. The significance of these different sources depends on hydrology.Flood pulses represent a disturbance to pelagic communities (followed by successions) and a source of nutrients. High loads of inorganic nutrients produce conditions for prolific algal growth.High availability of allochthonous organic carbon provides the basis for a prolific bacterial secondary production. Our data emphasize that the stimulus of local aquatic primary production enhances carbon utilization by bacteria.",,,,,,,,,18,1,0,0,16,0,19,,,1642-3593,2080-3397,,BIOSIS:PREV200700393688,,
J,"Houser, Jeffrey N.; Bartsch, Lynn A.; Richardson, William B.; Rogala, James T.; Sullivan, John F.",,,,,"Houser, Jeffrey/0000-0003-3295-3132",,,Ecosystem metabolism and nutrient dynamics in the main channel and backwaters of the Upper Mississippi River,,,,,,,,Freshwater Biology,,,,60,9,,,1863,1879,,10.1111/fwb.12617,,,,SEP 2015,2015,"Photosynthesis and respiration are primary drivers of dissolved oxygen dynamics in rivers. We measured dissolved oxygen dynamics, aquatic ecosystem metabolism, algal abundance and nutrient concentrations at main channel and backwater sites on a reach of the Upper Mississippi River that borders the states of Wisconsin and Minnesota (U.S.A.). We asked (i) how ecosystem metabolism rates, dissolved oxygen dynamics and nutrient concentrations differed in the main channel and in backwaters, (ii) whether ecosystem metabolism relates to solar irradiance, nutrient concentration, algal abundance, temperature and river discharge and (iii) whether the relationships between ecosystem metabolism and these environmental factors differs between the main channel and backwaters. The rates of aquatic ecosystem metabolism in the main channel were among the highest reported for large rivers. Mean daily gross primary production (GPP), ecosystem respiration (R) and net ecosystem production (NEP) in the main channel in the 2006 growing season were 10, 6 and 4g O(2)m(2) d(-1), respectively. Solar irradiance, discharge and temperature, rather than nutrients, accounted for most temporal variability in gross primary production (GPP). Discharge was negatively associated with GPP in the main channel and temperature positively associated with GPP in backwaters. Primary production consistently exceeded respiration in the main channel in summer, resulting in persistent oxygen supersaturation from late June to early August. Maximum chlorophyll concentrations (140g L-1) were observed in the main channel, rather than the backwaters. Nitrogen and phosphorus exhibited contrasting temporal patterns in backwaters probably reflecting differences in their sources and sinks; N declined during the growing season while P increased.",,,,,,,,,22,0,0,0,14,0,22,,,0046-5070,1365-2427,,BIOSIS:PREV201500646532,,
J,"Hein, T.; Heiler, G.; Pennetzdorfer, D.; Riedler, P.; Schagerl, M.; Schiemer, F.",,,,"Michael, Schagerl/AAC-3356-2021; Hein, Thomas/M-1244-2013","Michael, Schagerl/0000-0002-8277-7205; Hein, Thomas/0000-0002-7767-4607",,,The Danube Restoration Project: Functional aspects and planktonic productivity in the floodplain system,,,,,,,,Regulated Rivers Research and Management,,,,15,1-3,,,259,270,,10.1002/(SICI)1099-1646(199901/06)15:1/3<259::AID-RRR539>3.0.CO;2-E,,,,"Jan.-June, 1999",1999,"In Austria, the 'Danube Restoration Project' (DRP) was implemented to re-establish the connectivity between the Danube and its floodplain along a free flowing section downstream of Vienna. Before the restoration, the status quo of the 'Regelsbrunn' floodplain segment was investigated at different levels of abiotic, biotic and functional properties according to the spatio-temporal effects of hydrological connectivity. The present paper deals with temporal effects on hydrochemistry and on phyto- and bacterioplankton in the side channel (parapotamon). A hydrological situation of the present state of short-termed and intensive flood pulses followed by a period of isolation was compared with a period of higher connectivity reflecting the situation after the restoration. Rising water levels in the river, establishing local surface inflows, resulted in periodic nutrient pulses, high particle load and eutrophication in the floodplain. With disconnection after a spate, the nitrate and soluble reactive phosphate (SRP) concentration decreased significantly during 1 month. Phytoplankton correlated negatively with SRP during the first week after a flood pulse, reflecting the dominance of phytoplankton in SRP uptake. Planktonic primary production was stimulated by the nutrient import at higher connectivity and could be controlled by a decrease in retention time, related to the aims of the DRP. The two investigated periods indicated that increasing retention time in the side channel resulted in a shift from primary production towards prevailing bacterial secondary production.",,,,,,,,,51,0,0,0,50,0,56,,,0886-9375,,,BIOSIS:PREV199900238128,,
J,"Chanut, Pierre C. M.; Siebers, Andre R.; Robinson, Christopher T.",,,,"Siebers, Andre R/D-8656-2018","Siebers, Andre R/0000-0002-8326-1649; Chanut, Pierre/0000-0002-0852-4576",,,Flood disturbance affects macroinvertebrate food chain length in an alluvial river floodplain,,,,,,,,Freshwater Biology,,,,65,3,,,,,,10.1111/fwb.13445,,,,MAR 2020,2020,"Characterising food-web responses to environmental factors could greatly improve our understanding of environment-biota relationships, and especially in floodplains where trophic interactions can be particularly important during phases of hydrological disconnection. The effects of floodplain hydrology and environmental attributes on structural aspects of biotic assemblages have been extensively studied, but responses at the functional level remain largely unknown. Here, we characterised a central aspect of food-web architecture, the food chain length, as the maximum trophic position within 24 macroinvertebrate communities of parafluvial habitats in the Maggia river floodplain, in Switzerland. We investigated how the food chain length changed with different levels of habitat size, primary productivity and disturbance, the three factors potentially affecting food chain length in both theoretical and empirical studies. We found that food chain length was lower in frequently flooded habitats and immediately after a flood. We also showed that trophic omnivory, where predators fed at lower trophic levels after flooding, and in more frequently flooded habitats, may explain these changes. These findings show that trophic omnivory may explain how predators resist disturbance and are maintained in highly dynamic landscapes. More importantly, given that trophic omnivory may overall weaken trophic linkages and thus increase food-web stability, this suggests that it could be a key mechanism in sustaining biodiversity in river floodplains.",,,,,,,,,1,0,0,0,1,0,1,,,0046-5070,1365-2427,,BIOSIS:PREV202000223120,,
J,"Ogdahl, Mary E.; Lougheed, Vanessa L.; Stevenson, R. Jan; Steinman, Alan D.",,,,"Steinman, Alan/B-8723-2014","Steinman, Alan/0000-0002-4886-4305",,,Influences of Multi-Scale Habitat on Metabolism in a Coastal Great Lakes Watershed,,,,,,,,Ecosystems,,,,13,2,,,222,238,,10.1007/s10021-009-9312-y,,,,MAR 2010,2010,"Spatial heterogeneity influences ecosystem structure and function across multiple habitat scales. Although primary production and respiration are fundamental to energy cycling in aquatic ecosystems, we know relatively little about how habitat scale influences metabolism. In this study, we adopted a multi-scale habitat approach to evaluate primary production and respiration in a coastal Great Lakes watershed that is experiencing pressure from past, present, and anticipated future human activities. We divided the watershed into five macrohabitats (stream, river, wetland, drowned-river mouth lake, and Great Lake), two mesohabitats (benthic and water column), and four microhabitats (periphytic substrates: sand/sediment, rock, wood, and plant) for evaluation of spatial patterns and synchrony in metabolism. Factors that influenced patterns of metabolism were scale dependent. Algal biomass strongly influenced spatial patterns in metabolism at the meso- and microhabitat scales; greater algal biomass translated to higher areal-specific and lower chlorophyll-specific metabolism at benthic mesohabitat and sand/sediment and rock microhabitats. Benthic metabolism overwhelmed water column metabolism, irrespective of location or time of year. Watershed position was important at the macrohabitat scale, with greater overall metabolism in macrohabitats located lower in the watershed. Average synchrony in metabolism rates was greatest at the macrohabitat scale, suggesting metabolic patterns that are evident at finer scales may become integrated at coarser scales. Our results (1) show that spatial and temporal patterns in metabolism are shaped by factors that are dependent upon habitat scale; (2) highlight the importance of benthic productivity across habitat and season; and (3) suggest that hydrologic connectivity strongly influences ecosystem processes, although physical factors can affect these responses as evidenced by the low levels of synchrony between Lake Michigan and the other macrohabitats.",,,,,,,,,21,0,0,0,19,0,21,,,1432-9840,1435-0629,,BIOSIS:PREV201000222701,,
J,"Wang, Shuoyue; Gao, Yang; Jia, Junjie; Kun, Sun; Lyu, Sidan; Li, Zhaoxi; Lu, Yao; Wen, Xuefa",,,,,,,,"Water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (Lake Poyang), China",,,,,,,,Journal of Hydrology (Amsterdam),,,,599,,,,126414,Article No.: 126414,,10.1016/j.jhydrol.2021.126414,,,,AUG 2021,2021,"A floodplain lake system can be described as a water conveyance-type lake system that is subject to high water-level fluctuations (WLFs). This study investigated the effects of WLF on the nutrient status and the gross primary productivity (GPP) of phytoplankton in Lake Poyang, a large floodplain-lake system in China. This study hypothesized that WLF is the key controlling regulator of the lake's nutrient status, phytoplankton growth and GPP, driven by its influence on the lake's hydrological connectivity in combination with water-flow velocity as well as other environmental parameters. The results showed that the intra-annual water levels in this lake varied from 7.61 m to 20.82 m while inter-annual water levels significantly decreased throughout 1989-2018 (P < 0.05). Except for pH, most environmental variables and nutrients differed significantly each season. Mean GPP and chlorophyll a (Chl a) concentration during the water rising period was clearly higher compared to the dry season, wet season and falling period. Moreover, nutrient concentration was the main determining factor of phytoplankton growth and GPP during different periods, while water temperature (WT) also played a key role in influencing phytoplankton biomass and GPP during the water rising period. There was also a direct correlation between WLF and GPP during the water rising period, and WLF significantly affected nutrient concentration, subsequently impacting GPP. This study can benefit our overall knowledge of hydrological and ecological dynamics in floodplain-lake systems, while providing an important reference for policymakers in the management of dams and water quality in floodplain-lake systems globally.",,,,,,,,,1,0,0,0,1,0,1,,,0022-1694,1879-2707,,BIOSIS:PREV202100754986,,
