ID,Connectivity_type,Connectivity_measure,Seasonal_code,Repeats_code,reviewer_name,Paper,Title,country,watershed,water_body_type,System Size,Study Size,water_body_size,latitude,longitude,year,month,study_type,connectivity,lateral,longitudinal,spatial,temporal,connectivity_process,connectivity_quantitative,connectivity_metric,predictors,responses,chlorophyll,chlorophyll_method,chlorophyll_response,phytoplankton,fish,mean,sd,n,data_published,data_figure,analysis_method,notes
chl_16,2,d,y,n,DC,Bolpagni et al. 2017,connectivity and habitat typology drive co2 and ch4 fluxes across land-water interfaces in lowland rivers,Italy,Po River,river,not reported,not reported,"652km length total, 5km studied",,"45°01′N, 10°03′E",2008,May-Sept (monthly sampling),observational,y,y,n,n,y,"Flow, high vs. low",n,site,site,CO2 and CH4,y,,ug/l ,n,n,y,y,n,n,y,likelihood ratio testing,"The metric may not assess connectivity in a way that we can use--the data is presented per site, but not broken out across flow conditions"
pro_48,3,na,na,na,DC,Chen et al. 2020,local and regional drivers of environmental changes in two subtropical montane ponds (central china) over the last two centuries,China,Congping Basin,lake,not reported,not reported,Not Specified,"31°24′12″N, 110°03′25″E",,1880-present,n/a,observational,n,n,n,n,n,,,,,,n,,,n,n,n,n,n,n,n,,Data collection and connectivity metric preclude connectivity analysis
chl_56,1,a,y,n,DC,da Silva et al. 2010,"serial discontinuity along the descoberto river basin, central brazil",Brazil,Descoberto River,river,950km2,13 sites,,15° 37’ S; 48° 10’ W,,2003-2004,March 03-April 04,,n,n,n,n,y,Wet season vs. dry season,,,above vs. below dam,,y,,ug/l,,n,n,n,n,n,y,PCA and Correlation,Sites below the dam generally showed higher ChlA
chl_27,na,na,na,na,DC,Feio et al. 2010,functional indicators of stream health: a river-basin approach,Portugal,"Mondego, Vouga and Lis",river,not reported,not reported,11200km2,Not Specified,,2007,February and March,experimental,n,n,n,n,,,,,,decomposition rate,y,,,n,n,y,y,y,n,n,,"The comparison presented is between disturbed and reference sites, but the categories don't relate to a connectivity metric"
chl_6,2,e,y,n,DC,Gallardo et al. 2012,aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain,Spain,Ebro River,floodplain lake,,"2 oxbow lakes, 35-70 ha",,41 390 N,0 52 W,2007,February and March,observational,y,y,n,n,y,floodplain lake connection during flood,Flood event,stable vs. flood,,,y,spectrophotometric method,"ug/l of Chla a, b, c",n,n,y,y,y,n,y,LME and ANOVA,
chl_64,na,na,na,na,DC,"Gimbo, R",spatial variability of zooplankton along a section of river sio under different habitat conditions,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro_50,na,na,na,na,DC,"Islam, Abu Reza Md Towfiqul;Talukdar, Swapan;Mahato, Susanta;Ziaul, Sk;Eibek, Kutub Uddin;Akhter, Shumona;Pham, Quoc Bao;Mohammadi, Babak;Karimi, Firoozeh;Linh, Nguyen Thi Thuy",machine learning algorithm-based risk assessment of riparian wetlands in padma river basin of northwest bangladesh,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro_56,"1, 2",c,y,n,DC,Istvánovics et al. 2010,"phytoplankton dynamics in relation to connectivity, flow dynamics and resource availability the case of a large, lowland river, the hungarian tisza",Hungary,Tisza River,river,15700 km2,600km,,,,2000,February to October,,n,n,y,n,y,"Flow, high vs. low",,,,,y,extraction in hot ethanol,ug/l,y,,n,n,n,n,y,,
chl_74,1,a,na,na,DC,Kelly and Hassall 2018,the spatial ecology of phytoplankton blooms in uk canals,UK,n/a,canal,not reported,not reported,Not Specified,Not Specified,,Not Specified (potentially 2016),Not Specified,observational,y,n,y,n,n,hydrologic distance between points,Spatial autocorrelation,Spatial autocorrelation,"Landcover, distance",community composition,n,,,n,n,n,n,n,n,n,,
chl_48,2,a,n,y,DC,Kiss et al. 2014,"microcrustacean (cladocera, copepoda, ostracoda) diversity in three side arms in the gemenc floodplain (danube river, hungary) in different hydrological situations",Hungary,Danube River,river,not reported,not reported,"30 km long and 5-10 km wide, 180km2 area",,,"2002, 03, 04, 07, 09",April-October,observational,y,n,n,y,n,side channel vs. main stem,,,"Water temperature, pH, conductivity, DO, OM, Chla",community composition,y,,,n,n,n,n,n,n,n,correlation,Found that microcrustacean abundance was correlated with ChlA in side channels but not main stem of river
pro_38,1,d,n,n,DC,Klein et al. 2009,incorporating ecological and evolutionary processes into continental-scale conservation planning,Austrailia,national scale,catchment/watershed,Continental,Continental/catchment,national/scale,Not Specified,Not Specified,2009,Not Specified,observational,y,n,n,n,n,MARXAN software,connection between vegetation waterways,,,,n,,,n,n,n,n,n,n,n,,Modeling study focused on conservation tradeoffs
chl_37,2,e,y,n,DC,Montoya et al. 2006,hydrological seasonality and benthic algal biomass in a neotropical floodplain river,Venezuela,Cinaruco River,river,"11,700km2 area",12km stretch,505km long,,,2002-2003,Jan 02-Aug 03,observational,y,y,n,y,n,Water level,Water level,"High/low water, river vs. floodplain",,Various,n,overnight 90% acetone extraction protocol using spectrofluorometric and spectrophotometric methods,ug/l,n,n,y,y,y,n,y,anova,Multiple ways of looking at 
chl_19,2,c,n,n,DC,Neves et al. 2018,do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?,Brazil,Pelotas River,river,"35,813 km2",6 sites,,28'28'48 S,50'1'44 W,2013-204,Aug 2013-May 2014,observational,n,n,n,"river position, but is not specified",,Water level,,,,,y,Not Specified,ug/l,n,n,n,n,n,n,y,correlation,S-CHLAwas inversely correlated with the water level in both river and lagoon sites
pro_47,na,na,na,na,DC,"Noe, G B;Hupp, C R;Schenk, E;Batson, J;Krauss, K;Ensign, S;Wolf, K;Ahn, C;Anonymous",linkages between hydrogeomorphology and nutrient availability in wetlands,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro_59,na,na,na,na,DC,Sandi et al. 2020,resilience to drought of dryland wetlands threatened by climate change,Austrailia,Macquarie River,wetland,225km2,225km2,,15° 37’ S;, 48° 10’ W),1991-2003,,observational,n,,,,,,,,,,n,,,n,n,n,n,n,y,y,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
