,title,abstract,authors,article_type,pub_year,volume,database_id,database_type,reviewer_name,consistency_check,marine_y_n,water_body_type,original_research_y_n,response_variable,connectivity_metric,inclusion,notes
1,the performance of ecological cage aquaculture of pejerrey odontesthes bonariensis in pampean lakes under two different hydrological scenarios,"Ecological aquaculture promotes the development of sustainable farming systems, focusing on a wide range of ecosystem elements. The ecological aquaculture of the zooplanktivorous pejerrey ( Odontesthes bonariensis ) in floating cages in Pampean shallow lakes (Argentina) needs to be carried out considering the hydrological and chemical variations as modulators of plankton community and consequently of the pejerrey yield. To assess its performance in lakes with contrasting hydrological regimes, an experiment was carried out in two water bodies: La Salada de Monasterio Lake (Mon), an endorheic environment, and San Lorenzo Lake (Lor), connected to several lakes and the Salado River. During the experiment, regional rainfall generated high hydrological variability in Lor Lake changing its status of unconnected lake to a run‐of‐the‐river lake. High standard deviation in Chlorophyll‐a values in Lor indicated the significant effects of hydrological instability on the plankton community. Microcrustaceans abundance and biomass were higher in Mon, and almost disappeared in Lor when it turns into run‐of‐the‐river. The final fish growth and survival were significantly higher in Mon, endorsing the importance of zooplankton of high nutritional quality and hydrological, physical–chemical and biological stability. The results indicate that productive and stable environments with a sustained offer of natural food are better for the zooplanktivorous fish production. Connectivity with other water bodies and hydrological dependence on rainfall regimes have defining effects on phytoplankton, zooplankton and fish production, thus emerging as key factors to be considered for achieving better results in the ecological aquaculture implementation.","Javier R Garcia de Souza;Moreno, Vivian Yorojo;Sathicq, María B;Gómez, Nora;Sampietro, Susana;Donadelli, Jorge;Colautti, Darío C",Scholarly Journals,2021,52,2572363494,proquest,MB,RP,n,lake,y,"chlorophyll a, microcrustacean abundance and biomass, fish growth and survival",connected/not connected,y,"Included because paper describes the impact of changes in hydrologic connectivity on phytoplankton and the food web (zooplankton, fish)."
2,concerns about phytoplankton bloom trends in global lakes,,"Feng, Lian;Dai, Yanhui;Hou, Xuejiao;Xu, Yang;Liu, Junguo;Zheng, Chunmiao",Other Sources,2021,590,2491064164,proquest,MB,LY,n,lake,NA,NA,NA,n,Not relevant. Critique of a paper that used satellite remote sensing to calculate bloom intensity. Does not address connectivity.
3,do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?,"Trophic interactions represent the routes through which energy flows upwards within ecosystems and the understanding of such structuring under varying environmental conditions is still challenging. Here we test the hypothesis that differences in environmental variables act as environmental filters on the composition and trophic structure of local the fish fauna of a subtropical mountain river. We predict that differences in the trophic structure of the fish fauna occur along the river continuum. Main environmental parameters have been measured and fishes were sampled quarterly between August 2013 and May 2014 at six sampling sites in the main channel of the Pelotas River, Upper Uruguay ecoregion. We collected 3848 individuals belonging to 38 species, 4 orders and 11 families. The most (82.1%) consisted of small- and medium-sized individuals. The species were classified into eight trophic guilds: aquatic insectivorous, carnivorous, detritivorous, detritivorous/aquatic insectivorous, herbivorous, iliophagous, omnivorous and piscivorous. In general, herbivorous and piscivorous guilds were the most representative in both number and biomass. Significant differences detected by Permanova were for richness, numerical abundance and biomass between all the sites sampled. Relationships between the environmental variables and the composition of trophic guilds were observed along the longitudinal gradient by RLQ and fourth-corner analyses. The abundance of guilds omnivorous, aquatic insectivorous and herbivorous increases with higher values of chlorophyll- a and vegetation cover, especially characterizing the upstream sites (S1, S2 and S3). On the other hand, the abundance of the iliophagous, detritivorous/insectivorous and piscivorous guilds increases with greater values of width, temperature, inorganic phosphorus and total solids, a fact observed in downstream sites (S4, S5 and S6). Thus, it was possible to identify a clear variation in the trophic structure of the fish fauna along the Pelotas River (upstream-downstream), in which the local variables were efficient in predicting environmental filters that influence the trophic organization. In this scenario, our study follows the longitudinal model and evidences a greater accumulation of energy in food webs in the upstream-downstream direction, which favors the greatest abundance of piscivorous, detritivorous and iliophagous verified in stretches of greater volume and dimensions of river. These results highlight the importance of the local variables and the interrelationships in the lateral connectivity processes along the river continuum.","Neves, Mayara P;Baumgartner, Dirceu;Baumgartner, Gilmar;Delariva, Rosilene L",Scholarly Journals,2018,77,2417690740,proquest,MB,DC,n,river,y,"fish abundance, richness, biomass, and composition of trophic guilds",none,n,"Excluded because abstract does not describe a measure of connectivity or an anlysis of the impact of conntectivity. The abstract mentions that results demonstrate the importance of ""interrelationships in lateral connectivity processes"", but no other reference to connectivity."
4,hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes,"We evaluated in situ rates of bacterial carbon processing in Amazonian floodplain lakes and mainstems, during both high water (HW) and low water (LW) phases (p &lt; 0.05). Our results showed that bacterial production (BP) was lower and more variable than bacterial respiration, determined as total respiration. Bacterial carbon demand was mostly accounted by BR and presented the same pattern that BR in both water phases. Bacterial growth efficiency (BGE) showed a wide range (0.2-23%) and low mean value of 3 and 6%, (in HW and LW, respectively) suggesting that dissolved organic carbon was mostly allocated to catabolic metabolism. However, BGE was regulated by BP in LW phase. Consequently, changes in BGE showed the same pattern that BP. In addition, the hydrological pulse effects on mainstems and floodplains lakes connectivity were found for BP and BGE in LW. Multiple correlation analyses revealed that indexes of organic matter (OM) quality (chlorophyll-a, N stable isotopes and C/N ratios) were the strongest seasonal drivers of bacterial carbon metabolism. Our work indicated that: (i) the bacterial metabolism was mostly driven by respiration in Amazonian aquatic ecosystems resulting in low BGE in either high or LW phase; (ii) the hydrological pulse regulated the bacterial heterotrophic metabolism between Amazonian mainstems and floodplain lakes mostly driven by OM quality.","Vidal, Luciana O;Abril, Gwenäel;Artigas, Luiz F;Melo, Michaela L;Bernardes, Marcelo C;Lobão, Lúcia M;Reis, Mariana C;Moreira-Turcq, Patrícia;Benedetti, Marc;Tornisielo, Valdemar L;Roland, Fabio",Scholarly Journals,2015,6,1725025157,proquest,MB,RP,n,floodplain lakes and mainstems,y,"bacterial carbon processing: bacterial production, bacterial respiration, bacterial growth efficiency ",high water/low water phases,unsure,"Paper does examine the impacts of different water phases, but is bacterial processing a response variable of interest for our purposes?"
5,abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube,"This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the Kopački Rit floodplain in Croatia, over a period of 19 months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran",Scholarly Journals,2012,64,1400127912,proquest,MB,PG,n,floodplain,y,"bacterioplankton abundance, size, and biomass; abundance of nanoflaggellates and nanophytoplankton; concentration of cholorphyll a",unclear; water level,unsure,"The information in the abstract does not seem directly relevant (no clear connectivity metric, focus on microbial community), but mentions measuring chlorophyll a, so maybe worth looking at full text"
6,spatial variability of zooplankton along a section of river sio under different habitat conditions,"Many factors influence the abundance and species richness of zooplankton in river systems, including river hydrology, morphology, phytoplankton development and biotic interactions. River Sio discharges into Lake Victoria and forms a boundary between Kenya and Uganda at its middle and lower reaches. The river has an average discharge of 11.4 m3s-1 contributing 1.5% of riverine water input into Lake Victoria. Zooplankton community studies were carried out along a section of River Sio and its floodplain on the Ugandan side between November 2008 and January 2009. The main focus of the study was that River Sio zooplankton diversity; biomass and abundance patterns were expected to change with differing levels of lateral connectivity and habitat heterogeneity of the river plus its floodplain. Sampling along lateral and longitudinal transects of the river were done to investigate the effect of habitat heterogeneity subject to the river's flooding regimes on the abundance, composition and diversity of its zooplankton. Zooplankton samples were collected using a zooplankton net of mesh size 60/lm and a Schindler trap sampler for qualitative and quantitative analyses. Other factors determined were selected physico-chemical variables. Zooplankton and physical-chemical data were subjected to statistical analyses (ANOVA, multivariate, regression and correlation analyses) for significant tests after log transformation. The ordination of samples (sites and dates) of physical-chemical or biological variables was carried out using Principal Components Analysis (PCA). Similarity and diversity indices were used to assess structural patterns. In total, 45 rotifer, 9 copepod and 7 cladocera species were identified. Mean zooplankton density and biomass of River Sio were lower in the main channel of the river compared to its floodplain sites. Significant habitat differences were observed for zooplankton composition and abundance but no seasonal biomass and density differences were identified. Nutrient levels of River Sio were found to be very low. Physicalchemical factors like chlorophyll-a showed strong influences on the zooplankton community structure. These findings suggest that both low and high river water levels and the availability of heterogeneous habitats are crucial for zooplankton development in River Sio. The high zooplankton density observed bears significance to the ecological functions of the river as a breeding and nursery ground for potamodromous fishes from Lake Victoria.","Gimbo, R",Books,2009,NA,968183622,proquest,MB,LY,n,river and floodplain,y,zooplankton community,"unclear; water level, lateral connectivity",y,"Describes the impact of floodplain innundation on zooplankton. Chlorophyll a discussed as predictor, not response variable."
7,"hydrological connectivity, and the exchange of organic matter and nutrients in a dynamic river-floodplain system (danube, austria)","1. The relationship between hydrological connectivity, and the exchange processes of suspended sediments, organic matter and nutrients (NO sub(3)-N) was investigated in a dynamically connected river-floodplain segment of the Danube over a 15-month period in 1995 and 1996 in the Alluvial Zone National Park, Austria. 2. Based on water level dynamics and water retention times, three phases of river-floodplain connectivity were identified: disconnection (phase I), seepage inflow (phase II) and upstream surface connection (phase III). The frequency of occurrence of these phases was 67.5%, 29.3% and 3.2%, respectively, during the study period. 3. A conceptual model is presented linking hydrological connectivity with ecological processes. Generally, the floodplain shifts from a closed and mainly biologically controlled ecosystem during phase I to an increasingly open and more hydrologically controlled system during phases II and III. Phase I, with internal processes dominating, is designated the 'biotic interaction phase'. 4. Phase II, with massive nutrient inputs to the floodplain yet relatively high residence times, and therefore, high algal biomass, is classified as the 'primary production phase'. This demonstrates that water level fluctuations well below bankfull may considerably enhance floodplain productivity. 5. Finally, since transport of particulate matter is mainly restricted to short flood pulses above bankfull level, phase III has been defined as the 'transport phase'. 6. The floodplain served as a major sink for suspended sediments (250 mt ha super(-1) year super(-1)), FPOM (96 mt ha super(-1) year super(-1)), particulate organic carbon (POC; 2.9 mt ha super(-1) year super(-1)) and nitrate-nitrogen (0.96 mt ha super(-1) year super(-1)), but was a source for dissolved organic carbon (DOC; 240 kg ha super(-1) year super(-1)), algal biomass (chlorophyll-a; 0.5 kg ha super(-1) year super(-1)) and CPOM (21 kg ha super(-1) year super(-1)). Considerable quantities of DOC and algal biomass were exported to the river channel during phase II, whereas particulate matter transport was largely restricted to the short floods of phase III. 7. The Danube Restoration Project will create a more gradual change between the individual phases by increasing hydrological connectivity between the river channel and the floodplain, and is predicted to enhance productivity by maintaining a balance between retention and export of nutrients and organic matter.","Tockner, K;Pennetzdorfer, D;Reiner, N;Schiemer, F;Ward, J V",Scholarly Journals,1999,41,17380345,proquest,MB,DC,n,river and floodplain,y,"algal biomass, dissolved organic carbon, CPOM, suspended sediments","categorized into three phases: disconnection, seepage inflow, upstream surface connection",y,Provides a potentially useful connectivity classification system and describes transport between floodplain and river
8,the role of hydrologic connectivity and spatial scale in measuring lake landscape position,,"Martin, Sherry L.; Soranno, Patricia A.",Scholarly Journals,2004,89,BIOSIS:PREV200500123695,wos,MB,PG,NA,NA,NA,NA,NA,n,"Meeting abstract, no paper"
9,"microcrustacean (cladocera, copepoda, ostracoda) diversity in three side arms in the gemenc floodplain (danube river, hungary) in different hydrological situations","The microcrustacean assemblages, from different functional units of the Gemenc Floodplain (Danube River), were studied in various hydrological situations between 2002 and 2009. Sixty-three microcrustacean taxa were recorded from which 38 belonged to Cladocera, 18 to Copepoda and seven to Ostracoda. Among them there were some rare for the Middle Danube Region species, such as Dunhevedia crassa King, 1853, Holopedium gibberum Zaddach, 1855, Monospilus dispar (Sars, 1862). Significant differences were found between the different functional units of the floodplain focusing on the examined parameters of the microcrustacean assemblages. The most important factors influencing the species richness, as well as the density and diversity patterns of the assemblages, were the occurrence of flow, the connectivity with the main arm and the hydrological distance from the main arm. Most of these environmental factors are determined by the water level fluctuations of the Danube River which showed a negative correlation with all the examined parameters of the zooplankton assemblages. The density of the communities in both side arms correlated positively with the chlorophyll-a concentration. Moreover, the microcrustacean abundance showed an inverse relationship with the temperature but not in all of the side arms.","Kiss, Anita; Agoston-Szabo, Edit; Dinka, Maria; Schoell, Karoly; Berczik, Arpad",Scholarly Journals,2014,NA,BIOSIS:PREV201400560928,wos,MB,DC,n,floodplain,y,microcrustacean assemblage,connected/not connected; hydrological distance to main arm,y,"describes the impact of floodplain connectivity on zooplankton assemblage. Chlorophyll a included as predictor, not response. "
10,aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain,"The pulsing of river discharge affects biodiversity and productivity of whole river-floodplain ecosystems, triggering the transport, storage and processing of carbon. In this study we investigate the short-term changes in water chemistry and net pelagic metabolism (NEP) in two floodplain lakes in response to a flood pulse. The two oxbow lakes investigated in the floodplain of the Mediterranean Ebro River (NE Spain) showed a clear temporal shift in their metabolic balance, controlled by the river discharge and associated changes in water physical and chemical characteristics. Water chemistry (turbidity, water organic matter, chlorophyll a and nutrients concentration) returned to pre-flood values after 4 days, highlighting the resilience of the ecosystem to flood pulses. Lake NEP was depressed before and during floods to a minimum of -34 mg O-2 m(-3) h(-1), and increased after the flood pulse to a maximum of +463 mg O-2 m(-3) h(-1). The phytoplankton assemblage showed before and after floods a replacement of autotrophic species (e.g. Chlorophyceans) by mixotrophic organisms (e.g. Cryptophyceans, Euglenoids). A linear mixed effects model identified abiotic factors, particularly temperature and river discharge, as significant predictors of the net aquatic metabolism and community respiration during flood conditions. Our results suggest that the role of the Ebro floodplain lakes as sources or sinks of C is complex and relative to the time scale investigated, depending strongly on the river discharge dynamics and the transport of limiting nutrients (phosphorus).","Gallardo, B.; Espanol, C.; Comin, F. A.",Scholarly Journals,2012,693,BIOSIS:PREV201200544097,wos,MB,RP,n,floodplain lakes,y,water chemistry (including chlorophyll a); net pelagic metabolism,flood/not flood,y,describes the impact of flood on phystoplankton assemblage 
