"","title","name"
"1","the performance of ecological cage aquaculture of pejerrey odontesthes bonariensis in pampean lakes under two different hydrological scenarios","MB"
"2","water level as the key controlling regulator associated with nutrient and gross primary productivity changes in a large floodplain-lake system (lake poyang), china","CP"
"3","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","LY"
"4","temporal coherence between lake and landscape primary productivity","DC"
"5","complex hydroperiod induced carryover responses for survival, growth, and endurance of a pond-breeding amphibian.","PG"
"6","an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil).","ES"
"7","seasonal variations in food web dynamics of floodplain lakes with contrasting hydrological connectivity in the southern gulf of mexico","RP"
"8","concerns about phytoplankton bloom trends in global lakes.","MB"
"9","circulation patterns of biogenic ions in young glacial areas.","CP"
"10","greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane","LY"
"11","suspended sediment, nutrients, and chlorophyll in tropical floodplain lakes with different patterns of hydrological connectivity","DC"
"12","patterns of fish communities and water quality in impounded lakes of china's south-to-north water diversion project","PG"
"13","patterns of fish communities and water quality in impounded lakes of china's south-to-north water diversion project.","ES"
"14","connectivity and habitat typology drive co<sub>2</sub> and ch<sub>4</sub> fluxes across land–water interfaces in lowland rivers","RP"
"15","shifts of environmental and phytoplankton variables in a regulated river: a spatial-driven analysis","MB"
"16","shifts of environmental and phytoplankton variables in a regulated river: a spatial-driven analysis.","CP"
"17","do environmental variables predict the trophic structure of fish fauna in a subtropical river (uruguay river ecoregion)?","LY"
"18","biological responses to recent eutrophication and hydrologic changes in xingyun lake, southwest china","DC"
"19","so close, so far: differences in long-term chlorophyll a variability in three nearby estuarine-coastal stations","PG"
"20","phytoplankton dynamics in the congo river","ES"
"21","immigration and early life stages recruitment of the european flounder (platichthys flesus) to an estuarine nursery: the influence of environmental factors","RP"
"22","abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events","MB"
"23","abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events.","CP"
"24","towards deconfounding hydrological and seasonal temperature variability in the determination of selected limnological variables of a temperate floodplain ecosystem","LY"
"25","hydrological pulse regulating the bacterial heterotrophic metabolism between amazonian mainstems and floodplain lakes.","DC"
"26","using stressor-response models to derive numeric nutrient criteria for lakes in the eastern plain ecoregion, china","PG"
"27","effects of lake-basin morphological and hydrological characteristics on the eutrophication of shallow lakes in eastern china","ES"
"28","hydrological connectivity as most probable key driver of chlorophyll and nutrients in oxbow lakes of the bug river (poland)","RP"
"29","hydrological connectivity and basin morphometry influence seasonal water-chemistry variations in tundra ponds of the northwestern hudson bay lowlands","MB"
"30","floodplain lake assessment and fish assemblage dynamics in the mississippi alluvial valley (mississippi alluvial valley).","CP"
"31","short-term succession of aquatic plant species richness along ecosystem productivity and dispersal gradients in shallow lakes","LY"
"32","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","DC"
"33","a limnological examination of the southwestern amazon, madre de dios, peru.","PG"
