Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
J,"Schemel, Laurence Edward; Sommer, Ted R.; Muller-Solger, Anke B.; Harrell, William C.",,,,,,,,"Hydrologic variability, water chemistry, and phytoplankton biomass in a large floodplain of the Sacramento River, CA, U.S.A.",,,,,,,,Hydrobiologia,,,,513,1-3,,,129,139,,10.1023/B:hydr.0000018178.85404.1c,,,,"February 1, 2004",2004,"The Yolo Bypass, a large, managed floodplain that discharges to the headwaters of the San Francisco Estuary, was studied before, during, and after a single, month-long inundation by the Sacramento River in winter and spring 2000. The primary objective was to identify hydrologic conditions and other factors that enhance production of phytoplankton biomass in the floodplain waters. Recent reductions in phytoplankton have limited secondary production in the river and estuary, and increased phytoplankton biomass is a restoration objective for this system. Chlorophyll a was used as a measure of phytoplankton biomass in this study. Chlorophyll a concentrations were low (<4 mug l-1) during inundation by the river when flow through the floodplain was high, but concentrations rapidly increased as river inflow decreased and the floodplain drained. Therefore, hydrologic conditions in the weeks following inundation by river inflow appeared most important for producing phytoplankton biomass in the floodplain. Discharges from local streams were important sources of water to the floodplain before and after inundation by the river, and they supplied dissolved inorganic nutrients while chlorophyll a was increasing. Discharge from the floodplain was enriched in chlorophyll a relative to downstream locations in the river and estuary during the initial draining and later when local stream inflows produced brief discharge pulses. Based on the observation that phytoplankton biomass peaks during drainage events, we suggest that phytoplankton production in the floodplain and biomass transport to downstream locations would be higher in years with multiple inundation and draining sequences.",,,,,,,,,56,2,0,0,46,1,60,,,0018-8158,,,BIOSIS:PREV200400273679,,
J,"Feio, M. J.; Alves, T.; Boavida, M.; Medeiros, A.; Graca, M. A. S.",,,,"Graca, Manuel A.S./A-5785-2013; Feio, Maria Joao/AAF-2628-2021","Graca, Manuel A.S./0000-0002-7303-9382; Graca, Manuel/0000-0002-6470-8919; Feio, Maria/0000-0003-0362-6802",,,Functional indicators of stream health: a river-basin approach,,,,,,,,Freshwater Biology,,,,55,5,,,1050,1065,,10.1111/j.1365-2427.2009.02332.x,,,,MAY 2010,2010,"1. The efficacy of leaf-litter decomposition, sediment respiration, biofilm biomass, growth, chlorophyll a concentration and the autotrophic index (biofilm ash-free dry mass/chlorophyll a) and fungal biomass for detecting human-induced change was evaluated using 24 references and 15 disturbed stream sites located in central Portugal.2. Decomposition rates of alder (Alnus glutinosa) and oak (Quercus robur) leaves and sediment respiration rates were effective in discriminating impairment. Decomposition was negatively correlated with abiotic factors, such as ammonium and nitrite concentrations, connectivity and alterations in the hydrological regime, and positively correlated with nitrate concentration and oxygen concentration. Sediment respiration rates were correlated with organic contamination, land use and morphological changes.3. Growth rates of biofilm, concentration of chlorophyll a and the autotrophic index, although 41-73% higher at disturbed compared to reference sites, were not significantly different. These three variables were significantly correlated with total organic carbon, oxygen concentration, pH, nitrite and the presence of dams. Fungal biomass on leaves and biofilm biomass on natural substrata did not differ between reference and disturbed sites.4. Our findings lend support to the use of functional variables like decomposition and sediment respiration in monitoring and when used together with structural variables should give a more holistic measure of stream health.",,,,,,,,,68,2,0,0,56,2,71,,,0046-5070,1365-2427,,BIOSIS:PREV201000257803,,
J,"Houser, Jeffrey N.",,,,,"Houser, Jeffrey/0000-0003-3295-3132",,,"Contrasts between channels and backwaters in a large, floodplain river: testing our understanding of nutrient cycling, phytoplankton abundance, and suspended solids dynamics",,,,,,,,Freshwater Science,,,,35,2,,,457,473,,10.1086/686171,,,,JUN 2016,2016,"In floodplain rivers, variability in hydraulic connectivity interacts with biogeochemistry to determine the distribution of suspended and dissolved substances. Nutrient, chlorophyll a, and suspended solids data spanning longitudinal (5 study reaches across 1300 river km), lateral (main channel and backwaters), and temporal (1994-2011) gradients in the Upper Mississippi River (UMR) were used to examine the extent to which observed differences between the main channel and backwaters were consistent with expectations based on current understanding of biogeochemical processes in large rivers. For N and P, the results largely conformed to expectations. N concentrations were greater in the main channel than in the backwaters in 82 to 96% of the observations across river reaches. Maximum TP concentrations generally occurred in backwaters during summer, when backwater TP often exceeded that of the main channel. Flux of P from sediments may be a substantial source of water-column P in UMR backwaters in summer. The data for suspended solids and chlorophyll a suggest that some refinements are needed of our understanding of ecosystem processes in large rivers. During low-discharge conditions, concentrations of inorganic suspended solids often were greater in backwaters than in the main channel, suggesting the importance of sediment resuspension. Chlorophyll a concentrations were usually greater in backwaters than in the main channel, but exceptions indicate that phytoplankton abundance in the main channel of the UMR can sometimes be greater than is typically expected for large rivers.",,,,,,,,,5,0,0,0,3,0,5,,,2161-9549,2161-9565,,BIOSIS:PREV201600572060,,
J,"Weigelhofer, Gabriele; Preiner, Stefan; Funk, Andrea; Bondar-Kunze, Elisabeth; Hein, Thomas",,,,"Weigelhofer, Gabriele/AAN-5075-2021; Hein, Thomas/M-1244-2013","Weigelhofer, Gabriele/0000-0002-1298-2721; Hein, Thomas/0000-0002-7767-4607; Preiner, Stefan/0000-0003-0823-8219; Funk, Andrea/0000-0002-0568-1234; Bondar-Kunze, Elisabeth/0000-0003-2114-4903",,,The hydrochemical response of small and shallow floodplain water bodies to temporary surface water connections with the main river,,,,,,,,Freshwater Biology,,,,60,4,,,781,793,,10.1111/fwb.12532,,,,APR 2015,2015,"We investigated the effects of temporary surface water connections with the main river on the water chemistry of large and small waterbodies in a Danube floodplain by comparing hydrochemical data before, during and after water exchange with the Danube during two large floods in 2009 and 2013. In addition, we studied the effects of an increased frequency of flood pulses on the water chemistry of the floodplain via long-term monitoring data. We used conservative (i.e. biologically non-reactive) parameters (alkalinity, Ca, Cl, K, Mg, Na, SO4, conductivity) to identify hydrochemical changes due to the mixing with river water. Changes in non-conservative parameters (PO4-P, NO3-N, NO2-N, NH4-N, total phosphorus, dissolved organic carbon, dissolved oxygen, chlorophyll-a), which deviated from pure mixing effects, were ascribed to alterations of biogeochemical processes induced by the imported river water. In large floodplain waterbodies, both conservative and non-conservative parameters changed towards Danube water concentrations during the connection with the main river and returned to pre-connection levels after the water exchange ended. Only chlorophyll-a concentrations were almost twice as high in the post-connection phase than before the connection. In small floodplain waterbodies, conservative and non-conservative parameters showed similar changes during the connection with the main river. However, the concentrations of PO4-P, total phosphorus and chlorophyll-a did not return to pre-connection levels, but increased further in the post-connection phase, exceeding even Danube water concentrations. We attribute these changes to phosphorus releases from the sediments and enhanced primary and bacterial production induced by the river water. In years with an increased flooding frequency, both conservative and non-conservative parameters approached Danube water concentrations in large floodplain waterbodies due to the increased surface water exchange. In small floodplain waterbodies, conservative parameters remained unaffected by the increased connection with the river, while nitrate, ammonium, phosphate, total phosphorus and chlorophyll-a concentrations were considerably higher in wet years than in dry years. We conclude that the temporary input of oxygen- and nutrient-rich river water to small, mainly isolated backwaters can induce changes in benthic biogeochemical processes, which may provoke an internal eutrophication of these waterbodies.",,,,,,,,,19,0,0,0,18,0,20,,,0046-5070,1365-2427,,BIOSIS:PREV201500321559,,
J,"Mayora, Gisela; Devercelli, Melina; Giri, Federico",,,,"Devercelli, Melina/AAK-4647-2021","Mayora, Gisela/0000-0003-2839-2803; Devercelli, Melina/0000-0002-0464-2997",,,Spatial variability of chlorophyll-a and abiotic variables in a river-floodplain system during different hydrological phases,,,,,,,,Hydrobiologia,,,,717,1,,,51,63,,10.1007/s10750-013-1566-x,,,,OCT 2013,2013,"Chlorophyll-a (Chl-a) and abiotic variables were measured in the main channel and floodplain waterbodies of the Middle Parana River to analyse the system dynamics and to assess their spatial variability during different hydrological phases, including an extreme flood. We wanted to test that the flood does not always have a homogenising effect in a river-floodplain system. An explanatory model for Chl-a was performed according to Akaike's Information Criterion (AIC), and the relation of water level with the coefficient of variation (CV) among sites for each variable was explored. The model explained 64% of Chl-a variability. Water level, depth:euphotic zone ratio (Z (d):Z (eu)) (inverse correlation) and conductivity (direct correlation) were the significant explicative variables. The CV of Chl-a decreased with flood from the main channel to the floodplain, but for turbidity, Z (d):Z (eu), pH, dissolved oxygen, soluble reactive phosphorus and Chl-a:pheophytin-a ratio, it increased. However, within the floodplain, CV of turbidity, Z (d):Z (eu) and pH decreased during flood. These suggest that the homogenising effect frequently observed during inundation cannot be generalised and that the floodplain may maintain its identity even during flood. The extreme flood and its overlap with the warm season and sedimentological pulse probably contributed to the heterogeneity in the spatial gradient.",,,,,,,,,30,3,0,0,28,1,33,,,0018-8158,1573-5117,,BIOSIS:PREV201300670242,,
J,"Montoya, Jose V.; Roelke, Daniel L.; Winemiller, Kirk O.; Cotner, James B.; Snider, Jennifer A.",,,,"Roelke, Daniel L/B-5766-2008; Montoya, Jose V./A-6775-2008; Cotner, James B/D-8799-2013","Roelke, Daniel L/0000-0002-3166-3793; Montoya, Jose V./0000-0002-9759-4946; Cotner, James B/0000-0001-9792-467X; Winemiller, Kirk/0000-0003-0236-5129",,,Hydrological seasonality and benthic algal biomass in a Neotropical floodplain river,,,,,,,,Journal of the North American Benthological Society,,,,25,1,,,157,170,,10.1899/0887-3593(2006)25[157:HSABAB]2.0.CO;2,,,,MAR 2006,2006,"Our study evaluated spatiotemporal variation of physicochemical parameters and benthic and sestonic algal biomass in littoral areas of the main channel and floodplain lakes of the Cinaruco River, a lowland tributary of the Orinoco River in Venezuela. The Cinaruco is characterized by a highly predictable annual flood pulse, high transparency, and extremely low conductivity and suspended sediment load. During 2002 and 2003, 10 sites in the main channel and floodplain lagoons were sampled on 12 occasions. Correspondence analysis based on water physicochemical variables and algal biomass showed that similar to 80% of the variation in the multivariate space among sites and sampling dates was explained by 2 axes. During the high-water periods, river and lagoon sites showed high similarity in water variables and algal biomass. Conductivity, SiO3, and chlorophyll a concentrations (both benthic and sestonic) were low during the high-water phase. On the other hand, water variables and algal biomass differed between river and lagoon sites during the low-water period. The absence of flow in lagoons and consistently low algal biomass (sestonic and benthic) in river sites were the most important features of the spatial variability between main channel and lagoon sites during low-water phases. Benthic chlorophyll a was highly uniform at small spatial scales and significantly heterogeneous at large spatial scales. The annual flood regime of the Cinaruco, which drives the concentrations of dissolved materials and affects material interchanges between aquatic and terrestrial systems, also appears to be responsible for creating strong patterns of seasonal and spatial variation in benthic algal crops.",,,,,,,,,39,0,0,0,38,4,42,,,0887-3593,,,BIOSIS:PREV200600360526,,
J,"Walter, Jonathan A.; Fleck, Rachel; Kastens, Jude H.; Pace, Michael L.; Wilkinson, Grace M.",,,,,"Walter, Jonathan/0000-0003-2983-751X",,,Temporal Coherence Between Lake and Landscape Primary Productivity,,,,,,,,Ecosystems,,,,24,3,,,,,,10.1007/s10021-020-00531-6,,,,APR 2021,2021,"Understanding the patterns and drivers of primary productivity is a major goal of ecology, but little is known about whether the primary productivities of different types of ecosystems-here, lakes and the landscapes in which they are embedded-fluctuate in related ways through time. Due to shared climatic variation and well-known connections between lake and terrestrial ecosystems, such as nutrient and resource subsidies, we hypothesized that interannual fluctuations in aquatic and terrestrial primary productivity indices could be coherent. We also expected that lake and watershed characteristics could modify the strength and nature of primary productivity relationships. We applied wavelet coherence analyses to time series of lake chlorophyll-a and satellite-derived NDVI to examine coherence between lakes and land, and used random forest regression and generalized additive models to evaluate why coherence varies among lakes. There can be substantial coherence between lake and terrestrial primary productivity, but the strength and phase (direction and time lag) of this relationship vary widely, and there were marked differences between short (2-4-year periods of oscillation) and long (> 4-year periods of oscillation) timescales. Across all timescales, variables associated with the connectedness of lakes to their watersheds were consistently the important explanatory variables of the strength and phase of coherence. The patterns observed in this study suggest the importance of cross-ecosystem flows, as opposed to shared climatic variation, in determining temporal coherence between lakes and the landscape.",,,,,,,,,3,0,0,0,2,0,3,,,1432-9840,1435-0629,,BIOSIS:PREV202100466658,,
J,"Arthaud, F.; Vallod, D.; Robin, J.; Wezel, A.; Bornette, G.",,,,"bornette, gudrun/J-6404-2017; bornette, gudrun/AAE-5495-2020","bornette, gudrun/0000-0002-2242-0060; bornette, gudrun/0000-0002-2242-0060; Wezel, Alexander/0000-0001-5088-5087",,,Short-term succession of aquatic plant species richness along ecosystem productivity and dispersal gradients in shallow lakes,,,,,,,,Journal of Vegetation Science,,,,24,1,,,148,156,,10.1111/j.1654-1103.2012.01436.x,,,,JAN 2013,2013,"Questions The highest species richness is usually expected at an intermediate stage of development since the last major disturbance event, but some studies have shown that ecosystem productivity and dispersal may modify this pattern, suggesting the need for further studies on the effects of productivity and dispersal on the dynamics of species richness through succession. In this study, we analysed aquatic plant species richness in relation to (1) succession stage, measured as numbers of years since the last disturbance that affected the ecosystems; (2) lake productivity, measured as the chlorophyll a concentration; and (3) connectivity to similar nearby ecosystems, a proxy for the potential input of diaspores.Location Shallow lakes of the Dombes region, France.Methods Every 57 yr these shallow lakes are emptied and left to dry out for 1 yr. These drought disturbances lead to complete destruction of the submerged aquatic plant communities. Sixty lakes arranged along a gradient of productivity were selected. The probability of diaspore input was considered to increase from upstream to downstream, as lakes are organized in hydrologically connected networks via ditches, through which the downstream lakes receive water from the upstream lakes. For each lake, the aquatic plant species richness (from systematic summer vegetation sampling), time since the last disturbance (last summer drying), productivity (estimated as chlorophyll a concentration) and probability of diaspore input (assessed from position in the network) were recorded.Results The aquatic plant species richness decreased with the time since the last disturbance for all of the lakes, but there was a significant interaction with the chlorophyll a concentration and position of the lake in the network. At the lowest ecosystem productivities, the relationship between successional stage and species richness was hump-shaped, whereas the species richness decreased with increasing time since the last disturbance when productivity increased. The lake's position in the network did not influence species richness during the first 2 yr after disturbance, but from year 3 and thereafter, lakes connected to high numbers of upstream lakes consistently exhibited decreased richness, contradicting the expected trend of increasing species richness with increasing diaspore inputs.Conclusions This study indicates that both ecosystem productivity and connectivity strongly affected the relationship between aquatic plant species richness and succession, and that these factors should be taken into account in further developments of the intermediate disturbance hypothesis.",,,,,,,,,29,0,0,0,24,0,29,,,1100-9233,1654-1103,,BIOSIS:PREV201300116055,,
J,"Martin, Sherry L.; Soranno, Patricia A.",,,,,,,,The role of hydrologic connectivity and spatial scale in measuring lake landscape position.,,,,,,,,Ecological Society of America Annual Meeting Abstracts,,,,89,,,,324,324,,,,,,2004,2004,,,,,,89th Annual Meeting of the Ecological Society of America - Lessons of Lewis and Clark: Ecological Exploration of Inhabited Landscapes89th Annual Meeting of the Ecological Society of America - Lessons of Lewis and Clark: Ecological Exploration of Inhabited Landscapes,"August 01-06, 2004August 01-06, 2004",The Ecological Society of AmericaThe Ecological Society of America,"Portland, OR, USAPortland, OR, USA",0,0,0,,0,0,0,,,,,,BIOSIS:PREV200500123695,,
J,"Roozen, F. C. J. M.; Van Geest, G. J.; Ibelings, B. W.; Roijackers, R.; Scheffer, M.; Buijse, A. D.",,,,"Ibelings, Bas W/B-4237-2011; Scheffer, Marten/C-1852-2012","Ibelings, Bas W/0000-0002-7213-7407; ",,,Lake age and water level affect the turbidity of floodplain lakes along the lower Rhine.,,,,,,,,Freshwater Biology,,,,48,3,,,519,531,,10.1046/j.1365-2427.2003.01026.x,,,,March 2003,2003,"1. We sampled a set of 93 lakes situated in the floodplains of the lower River Rhine in search for morphometric and other factors that explain their variation in clarity. 2. Lakes with a drop in summer water level were less turbid at the time of sampling, mainly because of a lower concentration of inorganic suspended solids (ISS). 3. We also found that older lakes were more turbid than younger lakes and that this was largely because of an increase in phytoplankton. 4. Water clarity was positively related to lake depth and the presence of vegetation. 5. Model calculations indicated that the underwater light climate was strongly affected by chlorophyll and ISS, the latter being the dominant factor affecting Secchi depth. Dissolved organic carbon (DOC) was less important. 6. The high concentration of ISS suggests that intensive resuspension occurs in most of the lakes. Using a simple wave model, and assuming that vegetation protects sediments against resuspension, we could eliminate wind resuspension as an important process in 90% of the lakes, leaving resuspension by benthivorous fish as probably the most important factor determining transparency. 7. Chlorophyll a concentration showed a strong positive correlation to ISS concentration, suggesting that resuspension may also have a positive effect on phytoplankton biomass in these lakes. 8. In conclusion, in-lake processes, rather than river dynamics, seem to be driving the turbidity of floodplain lakes along the lower River Rhine.",,,,,,,,,41,1,0,0,34,1,42,,,0046-5070,,,BIOSIS:PREV200300189998,,
