"","title","authors","pub_year","volume","ID","result_DC","result_MB","result_PG","result_LY","result_CP","result_ES","result_RP"
"1","a limnological examination of the southwestern amazon, madre de dios, peru","Belcon, Alana Urnesha",2012,73,1,NA,NA,NA,NA,"y",NA,NA
"2","a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon","Cook, April B.; Bernard, Andrea M.; Boswell, Kevin M.; Bracken-Grissom, Heather; D'Elia, Marta; DeRada, Sergio; Easson, Cole G.; English, David; Eytan, Ron, I; Frank, Tamara; Hu, Chuanmin; Johnston, Matthew W.; Judkins, Heather; Lembke, Chad; Lopez, Jose, V; Milligan, Rosanna J.; Moore, Jon A.; Penta, Bradley; Pruzinsky, Nina M.; Quinlan, John A.; Richards, Travis M.; Romero, Isabel C.; Shivji, Mahmood S.; Vecchione, Michael; Weber, Max D.; Wells, R. J. David; Sutton, Tracey T.",2020,7,2,NA,NA,NA,"n",NA,NA,NA
"3","abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events","Affonso, A G;Queiroz, H L",2015,75,3,NA,NA,NA,NA,NA,"y",NA
"4","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","Palijan, Goran",2012,64,4,NA,"y","y",NA,NA,NA,NA
"5","an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil)","Cardoso-Silva, Sheila;Frascareli, Daniele;Silva, Daniel C V R;Figueira, Rubens César Lopes;Bittencourt, Marisa Dantas;Moschini-Carlos, Viviane;Pompêo, Marcelo",2021,28,5,NA,NA,NA,NA,NA,"n",NA
"6","aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain","Gallardo, B.; Espanol, C.; Comin, F. A.",2012,693,6,NA,"y",NA,NA,NA,NA,"y"
"7","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","Shen, Minghua;Liu, Xueqin",2021,125,7,NA,NA,NA,"n",NA,"y",NA
"8","assessing the potential health risk of cyanobacteria and cyanotoxins in lake naivasha, kenya","Raffoul, M. H.; Enanga, E. M.; Senar, O. E.; Creed, I. F.; Trick, C. G.",2020,847,8,NA,NA,NA,NA,NA,"n",NA
"9","bacterioplankton from two hungarian danube river wetlands (beda-karapancsa, danube-drava national park) and its relations to environmental variables","Kalcheva, Hristina; Dinka, Maria; Agoston-Szabo, Edit; Berczik, Arpad; Kalchev, Roumen; Tarjanyi, Nikolett; Kiss, Anita",2016,18,9,NA,NA,"y",NA,NA,NA,NA
"10","benthic algal response to hyporheic-surface water exchange in an alluvial river","Wyatt, Kevin H.; Hauer, F. Richard; Pessoney, George F.",2008,607,10,NA,NA,NA,NA,NA,NA,"n"
