"title","ID","qc","Abstract","Authors","year","Database_unique","search","qc_notes"
"20-years cumulative impact from shrimp farming on mangroves of northeast brazil","pro_1",177,"Brazilian mangroves cover about 11,100 km(2) and provide a wide range of ecosystem services. Despite their importance, they are one of the most impacted ecosystems because of combined influences of climate change, pollution, and direct conversion and loss. A major driver of environmental impacts is shrimp farming and this is particularly acute in the semi-arid northeast of Brazil, where mangroves are constrained in a narrow band along ephemeral estuaries that are often impacted by multi-year droughts. Recent changes to Brazilian law, in particular the Forest Code, have weakened protection for mangroves and associated apicum (salt pan) ecosystems. In NE Brazil, most shrimp ponds are converted from mangrove-adjacent apicuns rather than the mangroves themselves with periodic hydrological connectivity through dammed channels, allowing the flushing of effluents. As a result, the main impacts on mangroves are typically indirect, because of pollution inputs from shrimp pond effluents and associated loss of ecosystem services including reductions in primary productivity, carbon storage capacity, resilience to other environmental stressors, their efficiency as estuarine filters, and biodiversity and abundance of subsistence use of marine species. Soil damage and infrastructure remaining after shrimp pond deactivation impairs mangrove recovery. This extends the duration of the damage and allows the occupation of degraded areas by other activities that can permanently impair ecosystem function. In this review, we address several aspects of the shrimp culture boom in NE Brazilian, their features and consequences, and the future of mangroves in the region considering climate change and rising poverty. Our conclusions on the practices and outcomes of shrimp farming in mangroves are likely to apply to areas with similar environmental settings, e.g., semiarid regions worldwide, and particularly in the Latin America and Caribbean region, and our findings can be taken into account to improve conservation and management of these forests at the least to a regional scale.","de Lacerda, Luiz Drude; Ward, Raymond D.; Godoy, Mario Duarte Pinto; de Andrade Meireles, Antonio Jeovah; Borges, Rebecca; Ferreira, Alexander Cesar",2021,"BiosisPreview","pro",""
"a floodplain-scale lake classification based on characteristics of macroinvertebrate assemblages and corresponding environmental properties","r3_01",18,"Floodplain lakes have been experiencing great pressures by human activities, and ecological functionsin different types of lakes show different degrees of degradation. For facilitating conservation and management of different types of floodplain lakes, it is necessary to classify the lakes into similar groups according to certain standards. In this study, on basis of consideration of macroinvertebrate assemblages and corresponding environmental properties, the Yangtze floodplain lakes were classified into three major types grouping five groups of lakes: (1) river-disconnected lakes (algal lakes, macrophytic-algal transition lakes, and macrophytic lakes), (2) semi-connected lakes (oxbow lakes), (3) river-connected lakes. The classification of floodplain lakes mainly reflects the gradients of trophic and hydrological connectivity. The key factors structuring macroinvertebrate assemblages in the Yangtze floodplain lakes were mainly hydrological (connectivity rating, water depth), trophic (total phosphorus, macrophytes biomass) and morphometric (development of lake shoreline). Among the floodplain lakes, ecological status of river-connected lakes, where biodiversity, biomass and production of macroinvertebrates reached maxima, has been confirmed to be the best. From the view of conservation and management of the entire floodplain lakes, it is suggested that protecting the remnants of river-connected lakes, controlling eutrophication and linking disconnected lakes freely with the mainstream are crucial.","Pan, Baozhu;Wang, Hongzhu;Wang, Haijun",2014,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla","June 30 search"
"a limnological examination of the southwestern amazon, madre de dios, peru","chl_1",24,"This dissertation investigates the limnology of the southwestern Peruvian Amazon centered on the Madre de Dios department by examining first the geomorphology and then the ecology and biogeochemistry of the region's fluvial systems. Madre de Dios, Peru is world renowned for its prolific biodiversity and its location within the Andes biodiversity hotspot. It is also a site of study regarding the development of the Fitzcarrald Arch and that feature's geomorphological importance as the drainage center for the headwaters of the Madeira River--the Amazon's largest tributary and as well as its role as a physical divider of genetic evolution in the Amazon. Though each of these has been studied by a variety of prominent researchers, the ability to investigate all the aspects of this unique region is hampered by the lack of a regional geomorphological map. This study aims to fill that gap by using remote sensing techniques on digital elevation models, satellite imagery and soil, geology and geoecological maps already in publication to create a geomorphological map. The resulting map contains ten distinct landform types that exemplify the dominance of fluvial processes in shaping this landscape. The river terraces of the Madre de Dios River are delineated in their entirety as well as the various dissected relief units and previously undefined units. The demarcation of the boundaries of these geomorphic units will provide invaluable assistance to the selection of field sites by future researchers as well as insights into the origin of the high biodiversity indices of this region and aid in planning for biodiversity conservation. Secondly this study examines 25 tropical floodplain lakes along 300 km of the Manu River within the Manu National Park in the Madre de Dios department. Alternative stable state and regime shifts in shallow lakes typically have been examined in lakes in temperate and boreal regions and within anthropogenically disturbed basins but have rarely been studied in tropical or in undisturbed regions. In contrast this study focuses on a tropical region of virtually no human disturbance and evaluates the effects of hydrological variability on ecosystem structure and dynamics. Using satellite imagery a 23 yr timeline of ecological regime shifts in Amazon oxbow lakes or ""cochas"" is reconstructed. The study shows that almost 25% of the river's floodplain lakes experience periodic abrupt vegetative changes with an average 3.4% existing in an alternative stable state in any given year. State changes typically occur from a stable phytoplankton-dominated state to a short lived, <3 yr, floating macrophytic state and often occur independent of regional flooding. We theorize that multiple dynamics, both internal and external, drive vegetative regime shifts in the Manu but insufficient data yet exists in this remote region to identify the key processes. To complete the investigation of tropical limnology the third study compares and contrasts the nutrient-productivity ration of floodplain and non-floodplain lakes globally and regionally. For over 70 years a strong positive relationship between sestonic chlorophyll-a (Chl-a) and total phosphorus (TP) has been established with phosphorus generally viewed as the most limiting factor to productivity. Most of these studies, however, have focused on northern, temperate regions where the lakes are typically postglacial, isolated and fed by small streams. Relatively little work has been done on floodplain lakes which are semi or permanently connected to the river. This study examines the relationship between nutrients and productivity in floodplain lakes globally through an extensive literature synthesis. Values for total phosphorus, total nitrogen and chlorophyll-a were collected for 523 floodplain lakes, represented by 288 data points while 551 data points were collected for 5444 non-floodplain lakes. Analysis revealed that globally, floodplain lakes do not show any significant difference in the total phosphorus/chlorophyll-a relationship from that found in non-floodplain lakes but significant differences are seen between tropical and temperate lakes. We propose that the term 'floodplain' lake should serve as purely a geographical descriptor and that it is lacking as an ecological indicator. Instead factors such as precipitation seasonality, hydrological connectivity and regional flooding regimes are better indicators of high or low productivity in floodplain lakes.","Belcon, Alana Urnesha",2012,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"a meta-analysis of environmental tradeoffs of hydropower dams in the sekong, sesan, and srepok (3s) rivers of the lower mekong basin","pro_2",43,"In Mekong riparian countries, hydropower development provides energy, but also threatens biodiversity, ecosystems, food security, and an unparalleled freshwater fishery. The Sekong, Sesan, and Srepok Rivers (3S Basin) are major tributaries to the Lower Mekong River (LMB), making up 10% of the Mekong watershed but supporting nearly 40% of the fish species of the LMB. Forty-five dams have been built, are under construction, or are planned in the 3S Basin. We completed a meta-analysis of aquatic and riparian environmental losses from current, planned, and proposed hydropower dams in the 3S and LMB using 46 papers and reports from the past three decades. Proposed mainstem Stung Treng and Sambor dams were not included in our analysis because Cambodia recently announced a moratorium on mainstem Mekong River dams. More than 50% of studies evaluated hydrologic change from dam development, 33% quantified sediment alteration, and 30% estimated fish production changes. Freshwater fish diversity, non-fish species, primary production, trophic ecology, and nutrient loading objectives were less commonly studied. We visualized human and environmental tradeoffs of 3S dams from the reviewed papers. Overall, Lower Sesan 2, the proposed Sekong Dam, and planned Lower Srepok 3A and Lower Sesan 3 have considerable environmental impacts. Tradeoff analyses should include environmental objectives by representing organisms, habitats, and ecosystems to quantify environmental costs of dam development and maintain the biodiversity and extraordinary freshwater fishery of the LMB.",NA,2021,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon","chl_2",169,"The pelagic Gulf of Mexico (GoM) is a complex system of dynamic physical oceanography (western boundary current, mesoscale eddies), high biological diversity, and community integration via diel vertical migration and lateral advection. Humans also heavily utilize this system, including its deep-sea components, for resource extraction, shipping, tourism, and other commercial activity. This utilization has had impacts, some with disastrous consequences. The Deepwater Horizon oil spill (DWHOS) occurred at a depth of similar to 1500 m (Macondo wellhead), creating a persistent and toxic mixture of hydrocarbons and dispersant in the deep-pelagic (water column below 200 m depth) habitat. In order to assess the impacts of the DWHOS on this habitat, two large-scale research programs, described herein, were designed and executed. These programs, ONSAP and DEEPEND, aimed to quantitatively characterize the oceanic ecosystem of the northern GoM and to establish a time-series with which natural and anthropogenic changes could be detected. The approach was multi-disciplinary in nature and included in situ sampling, acoustic sensing, water column profiling and sampling, satellite remote sensing, AUV sensing, numerical modeling, genetic sequencing, and biogeochemical analyses. The synergy of these methodologies has provided new and unprecedented perspectives of an oceanic ecosystem with respect to composition, connectivity, drivers, and variability.","Cook, April B.; Bernard, Andrea M.; Boswell, Kevin M.; Bracken-Grissom, Heather; D'Elia, Marta; DeRada, Sergio; Easson, Cole G.; English, David; Eytan, Ron, I; Frank, Tamara; Hu, Chuanmin; Johnston, Matthew W.; Judkins, Heather; Lembke, Chad; Lopez, Jose, V; Milligan, Rosanna J.; Moore, Jon A.; Penta, Bradley; Pruzinsky, Nina M.; Quinlan, John A.; Richards, Travis M.; Romero, Isabel C.; Shivji, Mahmood S.; Vecchione, Michael; Weber, Max D.; Wells, R. J. David; Sutton, Tracey T.",2020,"BiosisPreview","chla",""
"a tracer-based simulation approach to quantify seasonal dynamics of surface-groundwater interactions in the pantanal wetland","r3_02",12,"The Pantanal wetland is one of the least explored regions of South America. It is characterized by an outstanding flora and fauna adapted to a seasonal flood pulse controlled by a dry and a wet season within each year. The resulting inundation covers in average an area of approximately 150000km super(2) and is seen as the most important driver for ecological integrity. Evaporation from the large floodplain is supposed to influence the climate of the whole continent. The regional groundwater is connected to the surface water and plays an important role for the characteristic flooding regime by regulating the wetland's water table. The water balance assessment of the wetland and the internal water exchange between surface and groundwater is therefore of high relevance for the conservation of the Pantanal biodiversity. Despite of its importance, water balance studies including groundwater-surface water interactions based on field data are rarely undertaken. This is mainly due to the remoteness and difficulty in accessing this area, which results in lack of data. In our study, we developed a new tracer-based model to simulate the spatio-temporal surface and subsurface fluxes for a range of water bodies. The model was able to simulate these fluxes considering a dynamic simulation of inflow and outflow using a newly collected 2-year dataset of water levels, stable water isotopes and chloride collected from several water bodies in the northern Pantanal region. Quantitative differences between water bodies according to their location in the floodplain were determined by the flooding regime and connectivity as well as site-specific characteristics, such as hydraulic conductivity and water depth. Our model simulated water balance fluxes with a Nash-Sutcliffe efficiency of 0.61, whereas it simulated stable water isotopic compositions better than chloride. We present the first study based on field data for the Pantanal, which is able to quantify water balances fluxes. Because their representation in global climate and land cover products is insufficient, our simulation results are valuable for validating large-scale models.","Schwerdtfeger, J;Hartmann, A;Weiler, M",2016,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"a vital link: water and vegetation in the anthropocene","pro_3",59,"This paper argues that the interplay of water, carbon and vegetation dynamics fundamentally links some global trends in the current and conceivable future Anthropocene, such as cropland expansion, freshwater use, and climate change and its impacts. Based on a review of recent literature including geographically explicit simulation studies with the process-based LPJmL global biosphere model, it demonstrates that the connectivity of water and vegetation dynamics is vital for water security, food security and (terrestrial) ecosystem dynamics alike. The water limitation of net primary production of both natural and agricultural plants - already pronounced in many regions - is shown to increase in many places under projected climate change, though this development is partially offset by water-saving direct CO sub(2) effects. Natural vegetation can to some degree adapt dynamically to higher water limitation, but agricultural crops usually require some form of active management to overcome it - among them irrigation, soil conservation and eventually shifts of cropland to areas that are less water-limited due to more favourable climatic conditions. While crucial to secure food production for a growing world population, such human interventions in water-vegetation systems have, as also shown, repercussions on the water cycle. Indeed, land use changes are shown to be the second-most important influence on the terrestrial water balance in recent times. Furthermore, climate change (warming and precipitation changes) will in many regions increase irrigation demand and decrease water availability, impeding rainfed and irrigated food production (if not CO sub(2) effects counterbalance this impact - which is unlikely at least in poorly managed systems). Drawing from these exemplary investigations, some research perspectives on how to further improve our knowledge of human-water-vegetation interactions in the Anthropocene are outlined.","Gerten, D",2013,"ASFA: Aquatic Sciences and Fisheries Abstracts","pro",""
"abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events","chl_3",97,"This paper examines water properties from lakes, channels and paleo-channels located in Mamiraua Sustainable Development Reserve, in Central Amazon floodplain, Amazonas, Brazil. The authors analysed surface temperature, conductivity, pH, dissolved oxygen, turbidity, transparency, suspended inorganic and organic matter, chlorophyll-a, pheophytin, total nitrogen, total phosphorus, organic and inorganic carbon in 2009 high water phase, 2009 and 2010 low water phases. Multivariate statistical analyses of 24 aquatic systems (6 ressacas, 12 lakes and 6 channels, 142 samples) were applied to the variables. First, they analysed the entire set of variables to test for differences among phases of the hydrological year and types of aquatic systems using a PERMANOVA two-way crossed design. The results showed that the all measured limnological variables are distinct regarding both factors: types of aquatic systems and hydrological phases. In general, the magnitude and amplitude of all variables were higher in the low water phase than in the high water phase, except for water transparency in all aquatic system's types.","Affonso, A G;Queiroz, H L",2015,"Agricultural & Environmental Science Collection","chla",""
"abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","chl_4",22,"This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the Kopacki Rit floodplain in Croatia, over a period of 19 months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran",2012,"ASFA: Aquatic Sciences and Fisheries Abstracts","chla",""
"algal extracellular release in river-floodplain dissolved organic matter: response of extracellular enzymatic activity during a post-flood period","pro_4",175,"River-floodplain systems are susceptible to rapid hydrological events. Changing hydrological connectivity of the floodplain generates a broad range of conditions, from lentic to lotic. This creates a mixture of allochthonously and autochthonously derived dissolved organic matter (DOM). Autochthonous DOM, including photosynthetic extracellular release (PER), is an important source supporting bacterial secondary production (BSP). Nonetheless, no details are available regarding microbial extracellular enzymatic activity (EEA) as a response to PER under variable hydrological settings in river-floodplain systems. To investigate the relationship between bacterial and phytoplankton components, we therefore used EEA as a tool to track the microbial response to non-chromophoric, but reactive and ecologically important DOM. The study was conducted in three floodplain subsystems with distinct hydrological regimes (Danube Floodplain National Park, Austria). The focus was on the post-flood period. Enhanced %PER (up to 48% of primary production) in a hydrologically isolated subsystem was strongly correlated with beta-glucosidase, which was related to BSP. This shows that in disconnected floodplain backwaters with high terrestrial input BSP can also be driven by autochthonous carbon sources (PER). In a semi-isolated section, in the presence of fresh labile material from primary producers, enhanced activity of phenol oxidase was observed. In frequently flooded river-floodplain systems, BSP was mainly driven by enzymatic degradation of particulate primary production. Our research demonstrates that EEA measurements are an excellent tool to describe the coupling between bacteria and phytoplankton, which cannot be deciphered when focusing solely on chromophoric DOM.","Sieczko, Anna; Maschek, Maria; Peduzzi, Peter",2015,"BiosisPreview","pro",""
