"ID","connectivity_type","connectivity_measure","seasonal_code","repeats_code","chlorophyll","country","watershed","water_body_type","basin_size","site_size","water_body_size","latitude","longitude","year","seasonality","seasons","study_type","connectivity","lateral","longitudinal","hyporheic","spatial","temporal_def","temporal","connectivity_process","connectivity_quantitative","connectivity_metric","connectivity_def","predictors","responses","primary_productivity_metric","chlorophyll_method","chlorophyll_response","p_value","food_web","mean","sd","n","data_published","data_figure","data_analysis_method","include_exclude","notes","regulated","cc_notes","meta_analysis","include_exclude_reason"
"chl_16","2","d","y","n","y","Italy","Po River","river","not reported","not reported","652km length total, 5km studied",NA,"45�01?N, 10�03?E","2008","n","n","observational","y","y","n","n","n","flow","y","Flow, high vs. low","n","site","high flow vs. low flows across time","site","Temperature, Conductivity, pH, O2, DIC, NH4, NO3, PO4, Chl a","chla","Not Specified","ug/l",NA,"n","y","y","n","n","y","likelihood ratio testing","include","The metric may not assess connectivity in a way that we can use--the data is presented per site, but not broken out across flow conditions",NA,NA,NA,NA
"pro_48","3","na","na","na","n","China","Congping Basin","lake","not reported","not reported","Not Specified","31�24?12?N, 110�03?25?E",NA,"1880-2008","na","na","observational","n","n","n","n","n","na","n","na","n","na","na","na","na","na","Not Specified","na",NA,"n","n","n","n","n","n",NA,"exclude","Data collection and connectivity metric preclude connectivity analysis, results are not clearly communicated",NA,NA,NA,NA
"chl_56","1","a","y","n","y","Brazil","Descoberto River","river","950km2","13 sites","Not Specified","15� 37� S; 48� 10� W",NA,"2003, 2004","y","wet vs. dry","na","n","n","n","n","n","season","y","Wet season vs. dry season","n","na","na","above vs. below dam","suspended solids, DO, chemical O demand, biochemical oxygen demend, total phosphorus, orthophosphate, NH4, NO3, NO2, chloride, TOC, coliforms","chla","Not Specified","ug/l",NA,"n","n","n","n","n","y","PCA and Correlation","incluce","Sites below the dam generally showed higher ChlA",NA,NA,NA,NA
"chl_27","0","na","na","na","y","Portugal","Mondego, Vouga and Lis","river","not reported","not reported","11200km2","Not Specified",NA,"2007","n","n","experimental","n","n","n","n","n","na","n","reference vs. disturbed",NA,"na","na","na","na","chla","Not Specified","ug/l",NA,"n","y","y","y","n","n",NA,"include","The comparison presented is between disturbed and reference sites, but the categories don't relate to a connectivity metric",NA,NA,NA,NA
"chl_6","2","e","y","n","y","Spain","Ebro River","floodplain lake",NA,"2 oxbow lakes, 35-70 ha",NA,"41 390 N","0 52 W","2007","n","n","observational","y","y","n","n","n","flood","y","floodplain lake connection during flood","Flood event","stable vs. flood","floodplain activation via flood",NA,"DO, temp, pH","chla","spectrophotometric method","ug/l of Chla a, b, c",NA,"n","y","y","y","n","y","LME and ANOVA","include",NA,NA,NA,NA,NA
"chl_64","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","n","n","n","n","na","na","na","na","na","na","na","na","na","na","na",NA,"na","na","na","na","na","na",NA,"exclude","Masters thesis",NA,NA,NA,NA
"pro_50","0","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","n","na","na","na","na","na","na","na","na","na","na","na","na",NA,"na","na","na","na","na","na","na","exclude","Machine learning modeling paper, not relevant for study",NA,NA,NA,NA
"pro_56","1, 2","c","y","n","y","Hungary","Tisza River","river","15700 km2","600km","Not Specified",NA,"na","2000","n","n","n","n","n","y","n","n","flow","y","Flow, high vs. low",NA,"flow","higher vs. lower flows",NA,"phosphorus, NH4, NO3, chloride, suspended solids","chla","extraction in hot ethanol","ug/l",NA,"n","n","n","n","n","y",NA,"include",NA,NA,NA,NA,NA
"chl_74","1","a","na","na","n","UK","n/a","canal","not reported","not reported","Not Specified","Not Specified",NA,"not reported","n","n","observational","y","n","y","n","n","na","n","hydrologic distance between points","Spatial autocorrelation","Spatial autocorrelation","proximity between points","Landcover, distance","algal community composition","na","Not Specified","na",NA,"n","n","n","n","n","n",NA,"include",NA,NA,NA,NA,NA
"chl_48","2","a","n","y","y","Hungary","Danube River","river","not reported","not reported","30 km long and 5-10 km wide, 180km2 area",NA,NA,"2002, 2003, 2004, 2007, 2009","n","n","observational","y","n","n","n","y","na","n","side channel vs. main stem","n","side channel vs. main stem","watershed position","Water temperature, pH, conductivity, DO, OM, Chla","microcrustacean community composition","chla","Not Specified","ug/l",NA,"n","n","n","n","n","n","correlation","include","Found that microcrustacean abundance was correlated with ChlA in side channels but not main stem of river",NA,NA,NA,NA
"pro_38","1","d","n","n","n","Austrailia","national scale","catchment/watershed","Continental","Continental/catchment","national/scale","Not Specified","Not Specified","2009","n","n","observational","y","n","n","n","n","na","n","MARXAN software","n","na","na","na","na","na","Not Specified","na",NA,"n","n","n","n","n","n",NA,"include","Modeling study focused on conservation tradeoffs",NA,NA,NA,NA
"chl_37","2","e","y","n","y","Venezuela","Cinaruco River","river","11,700km2 area","12km stretch","505km long","na","na","2002, 2003","y","n","observational","y","y","n","n","y","na","n","Water level","y","High/low water, river vs. floodplain",NA,NA,"phaeophytin, s-chla, b-chla","s-chla, b-chla","overnight 90% acetone extraction protocol using spectrofluorometric and spectrophotometric methods","ug/l of s-Chla and b-chla",NA,"n","y","y","y","n","y","anova","include","Multiple ways of looking at",NA,NA,NA,NA
