"","title","abstract","authors","article_type","pub_year","volume","database_id","database_type","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID"
"1","a limnological examination of the southwestern amazon, madre de dios, peru","NA","NA","NA","NA","NA","NA","NA","CP","NA","N","fluvial systems, floodplain lakes","Y","chlorophyll-a, nutrients","not specific - hydrological connectivity mentioned","Y","dissertation","chl_1"
"2","a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon","NA","NA","NA","NA","NA","NA","NA","LY","NA","Y","ocean","Y","nekton, biogeochem","genetic connectivity and correlations","N","I excluded this because completely marine","chl_2"
"3","abiotic variability among different aquatic systems of the central amazon floodplain during drought and flood events","This paper examines water properties from lakes, channels and paleo-channels located in Mamiraua Sustainable Development Reserve, in Central Amazon floodplain, Amazonas, Brazil. The authors analysed surface temperature, conductivity, pH, dissolved oxygen, turbidity, transparency, suspended inorganic and organic matter, chlorophyll-a, pheophytin, total nitrogen, total phosphorus, organic and inorganic carbon in 2009 high water phase, 2009 and 2010 low water phases. Multivariate statistical analyses of 24 aquatic systems (6 ressacas, 12 lakes and 6 channels, 142 samples) were applied to the variables. First, they analysed the entire set of variables to test for differences among phases of the hydrological year and types of aquatic systems using a PERMANOVA two-way crossed design. The results showed that the all measured limnological variables are distinct regarding both factors: types of aquatic systems and hydrological phases. In general, the magnitude and amplitude of all variables were higher in the low water phase than in the high water phase, except for water transparency in all aquatic system's types.","Affonso, A G;Queiroz, H L","Scholarly Journals","2015","75","1757013661","proquest","ES","LY","N","central Amazon floodplain","Y","surface temperature, conductivity, pH, dissolved oxygen, turbidity, transparency, suspended inorganic and organic matter, chlorophyll-a, pheophytin, total nitrogen, total phosphorus, organic and inorganic carbon","hydrologic phase (stage?)","Y",NA,"chl_3"
"4","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the KopaÄki Rit floodplain in Croatia, over a period of 19Â months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran","Scholarly Journals","2012","64","1400127912","proquest","MB","PG","n","floodplain","y","bacterioplankton abundance, size, and biomass; abundance of nanoflaggellates and nanophytoplankton; concentration of cholorphyll a","unclear; water level","y","The information in the abstract does not seem directly relevant (no clear connectivity metric, focus on microbial community), but mentions measuring chlorophyll a, so maybe worth looking at full text","chl_4"
"5","abundance and biomass responses of microbial food web components to hydrology and environmental gradients within a floodplain of the river danube","This study investigated the relationships of time-dependent hydrological variability and selected microbial food web components. Samples were collected monthly from the Kopački Rit floodplain in Croatia, over a period of 19 months, for analysis of bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a. Similar hydrological variability at different times of the year enabled partition of seasonal effects from hydrological changes on microbial community properties. The results suggested that, unlike some other studies investigating sites with different connectivity, bacterioplankton abundance, and phytoplankton abundance and biomass increased during lentic conditions. At increasing water level, nanophytoplankton showed lower sensitivity to disturbance in comparison with total phytoplankton biomass: this could prolong autotrophic conditions within the floodplain. Bacterioplankton biomass, unlike phytoplankton, was not impacted by hydrology. The bacterial biomass less affected by hydrological changes can be an important additional food component for the floodplain food web. The results also suggested a mechanism controlling bacterial cell size independent of hydrology, as bacterial cell size was significantly decreased as nanoflagellate abundance increased. Hydrology, regardless of seasonal sucession, has the potential to structure microbial food webs, supporting microbial development during lentic conditions. Conversely, other components appear unaffected by hydrology or may be more strongly controlled by biotic interactions. This research, therefore, adds to understanding on microbial food web interactions in the context of flood and flow pulses in river-floodplain ecosystems.","Palijan, Goran","Scholarly Journals","2012","64","1400127912","proquest","check","PG","n","floodplain","y","bacterioplankton abundance, cell size and biomass; abundance of heterotrophic nanoflagellates and nanophytoplankton; and concentration of chlorophyll a","water level","y",NA,"chl_4"
"6","an abiotic typology and reference conditions for nutrients and chlorophyll-a in subtropical reservoirs (são paulo state, brazil)","The establishment of reference conditions and typology are two important steps in water resources management. The reference conditions enable the determination of how impacted an ecosystem is, while the typology facilitates the implementation of management procedures. A study of subtropical reservoirs in São Paulo State (Brazil) was performed to obtain (1) an abiotic typology, using principal component analysis (PCA) and cluster analysis (Ward's method with Euclidean distances), and (2) reference conditions for total phosphorus (TP), total nitrogen (TN), and chlorophyll-a (Chl-a) in the dry and rainy seasons for one of the established typologies. Two main statistical techniques were used: the lake population distribution approach and the trisection method. PCA identified an environmental gradient in the east-west direction, with reservoirs at higher latitudes and with larger dimensions in the west, and smaller reservoirs in eastern areas with higher altitude and higher average annual rainfall. The PCA and cluster analysis indicated that there were four main types of reservoirs. The nutrient criteria techniques, obtained for 13 type I rainy-east reservoirs, were not significantly different (t test, p &lt; 0.05). Although the methods resulted in similar reference conditions, one-way ANOVA indicated significant differences between the seasons for Chl-a, which levels were slightly higher in the rainy season. As far as we know, this is the first study to simultaneously provide an abiotic typology and reference conditions for chlorophyll-a and nutrients in different seasons, considering subtropical reservoirs in South America. This investigation makes an important contribution to the monitoring and management of subtropical reservoirs, and the promotion of dialog between the scientific community and managers, aiming at ensuring the sustainability of water bodies.","Cardoso-Silva, Sheila;Frascareli, Daniele;Silva, Daniel C V R;Figueira, Rubens César Lopes;Bittencourt, Marisa Dantas;Moschini-Carlos, Viviane;Pompêo, Marcelo","Scholarly Journals","2021","28","2465440501","proquest","ES","RP","N","reservoir","Y","Chl-a, Total N, Total P","abiotic typology, reference conditions ","N",NA,"chl_5"
"7","aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain","The pulsing of river discharge affects biodiversity and productivity of whole river-floodplain ecosystems, triggering the transport, storage and processing of carbon. In this study we investigate the short-term changes in water chemistry and net pelagic metabolism (NEP) in two floodplain lakes in response to a flood pulse. The two oxbow lakes investigated in the floodplain of the Mediterranean Ebro River (NE Spain) showed a clear temporal shift in their metabolic balance, controlled by the river discharge and associated changes in water physical and chemical characteristics. Water chemistry (turbidity, water organic matter, chlorophyll a and nutrients concentration) returned to pre-flood values after 4 days, highlighting the resilience of the ecosystem to flood pulses. Lake NEP was depressed before and during floods to a minimum of -34 mg O-2 m(-3) h(-1), and increased after the flood pulse to a maximum of +463 mg O-2 m(-3) h(-1). The phytoplankton assemblage showed before and after floods a replacement of autotrophic species (e.g. Chlorophyceans) by mixotrophic organisms (e.g. Cryptophyceans, Euglenoids). A linear mixed effects model identified abiotic factors, particularly temperature and river discharge, as significant predictors of the net aquatic metabolism and community respiration during flood conditions. Our results suggest that the role of the Ebro floodplain lakes as sources or sinks of C is complex and relative to the time scale investigated, depending strongly on the river discharge dynamics and the transport of limiting nutrients (phosphorus).","Gallardo, B.; Espanol, C.; Comin, F. A.","Scholarly Journals","2012","693","BIOSIS:PREV201200544097","wos","MB","RP","N","floodplain","Y","NEP","river discharge","Y","should likely keep to read full paper","chl_6"
"8","aquatic metabolism short-term response to the flood pulse in a mediterranean floodplain","The pulsing of river discharge affects biodiversity and productivity of whole river-floodplain ecosystems, triggering the transport, storage and processing of carbon. In this study we investigate the short-term changes in water chemistry and net pelagic metabolism (NEP) in two floodplain lakes in response to a flood pulse. The two oxbow lakes investigated in the floodplain of the Mediterranean Ebro River (NE Spain) showed a clear temporal shift in their metabolic balance, controlled by the river discharge and associated changes in water physical and chemical characteristics. Water chemistry (turbidity, water organic matter, chlorophyll a and nutrients concentration) returned to pre-flood values after 4 days, highlighting the resilience of the ecosystem to flood pulses. Lake NEP was depressed before and during floods to a minimum of -34 mg O-2 m(-3) h(-1), and increased after the flood pulse to a maximum of +463 mg O-2 m(-3) h(-1). The phytoplankton assemblage showed before and after floods a replacement of autotrophic species (e.g. Chlorophyceans) by mixotrophic organisms (e.g. Cryptophyceans, Euglenoids). A linear mixed effects model identified abiotic factors, particularly temperature and river discharge, as significant predictors of the net aquatic metabolism and community respiration during flood conditions. Our results suggest that the role of the Ebro floodplain lakes as sources or sinks of C is complex and relative to the time scale investigated, depending strongly on the river discharge dynamics and the transport of limiting nutrients (phosphorus).","Gallardo, B.; Espanol, C.; Comin, F. A.","Scholarly Journals","2012","693","BIOSIS:PREV201200544097","wos","MB","RP","n","floodplain lakes","y","water chemistry (including chlorophyll a); net pelagic metabolism","flood/not flood","y","describes the impact of flood on phystoplankton assemblage ","chl_6"
"9","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","NA","NA","NA","NA","NA","NA","NA","LY","NA","N ","aquatic (rivers, lakes, wetlands/floodplains)","meta-analysis"," macroinverts and fish (abundance and diversity), chl-a and other WQ ","disconnected/moderately connected/highly connected","N","Could be a good model for our meta-analysis.  Includes effect size","chl_7"
"10","assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analysis","The alteration of lateral hydrological connectivity (LHC) is among the major causes of decline in biodiversity and ecosystem functioning and services in river-floodplain ecosystems. Yet, the effects of LHC alteration on aquatic ecosystems have not been rigorously tested and synthesized. Here, we conducted a literature review and meta-analysis to provide a global synthesis of the effects of LHC alteration on aquatic ecosystems, and to test the effectiveness of indicators for bioassessment. In our review we found that the effects of LHC alteration were disproportionally documented in terms of geographic distribution and research subject. Most studies were conducted in Europe and America on the biodiversity and abundance of macroinvertebrates and fish. In our meta-analysis, we compared effect sizes between pairs of three LHC levels, i.e. disconnected, moderately connected, and highly connected. We found that only a limited number of water quality indicators (e.g. chlorophyll a, total phosphorus, conductivity, and dissolved oxygen) and biological community indicators (e.g. fish species richness, and zooplankton abundance) showed significant differences between LHC levels. The responses of these indicators to LHC alteration differed, and sometimes in opposing directions. We found out responsive indicators and their response trends, which could not only facilitate effective biomonitoring and bioassessment with regard to engineering and restoration of LHC, but also provide scientific underpinnings of the understanding of trade-offs among the indicators. We identified knowledge gaps and provided recommendations on how to fill these gaps, which included investigating rarely documented regions, developing new indicators, and quantifying mechanistic links between LHC and ecosystem functioning and services.","Shen, Minghua;Liu, Xueqin","Scholarly Journals","2021","125","2524279576","proquest","check","ES","?","multiple","N","WQ+biological community indicators","effect sizes of connectivity","Y",NA,"chl_7"
